group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-broad-from-bytes,parsed,10,,,1455263.0,ns,3
access-broad-from-bytes,parsed,10,,,2927691.0,ns,6
access-broad-from-bytes,parsed,10,,,4340026.0,ns,9
access-broad-from-bytes,parsed,10,,,6035878.0,ns,12
access-broad-from-bytes,parsed,10,,,7250087.0,ns,15
access-broad-from-bytes,parsed,10,,,8794484.0,ns,18
access-broad-from-bytes,parsed,10,,,10190131.0,ns,21
access-broad-from-bytes,parsed,10,,,11561725.0,ns,24
access-broad-from-bytes,parsed,10,,,13038640.0,ns,27
access-broad-from-bytes,parsed,10,,,14434310.0,ns,30
access-broad-from-bytes,parsed,10,,,15957278.0,ns,33
access-broad-from-bytes,parsed,10,,,17359640.0,ns,36
access-broad-from-bytes,parsed,10,,,18828186.0,ns,39
access-broad-from-bytes,parsed,10,,,20187428.0,ns,42
access-broad-from-bytes,parsed,10,,,21631959.0,ns,45
access-broad-from-bytes,parsed,10,,,22968649.0,ns,48
access-broad-from-bytes,parsed,10,,,24762500.0,ns,51
access-broad-from-bytes,parsed,10,,,25860206.0,ns,54
access-broad-from-bytes,parsed,10,,,27259885.0,ns,57
access-broad-from-bytes,parsed,10,,,28971753.0,ns,60
access-broad-from-bytes,parsed,10,,,30392018.0,ns,63
access-broad-from-bytes,parsed,10,,,31798851.0,ns,66
access-broad-from-bytes,parsed,10,,,33062959.0,ns,69
access-broad-from-bytes,parsed,10,,,34553217.0,ns,72
access-broad-from-bytes,parsed,10,,,36023511.0,ns,75
access-broad-from-bytes,parsed,10,,,37657198.0,ns,78
access-broad-from-bytes,parsed,10,,,38891604.0,ns,81
access-broad-from-bytes,parsed,10,,,40235672.0,ns,84
access-broad-from-bytes,parsed,10,,,41807881.0,ns,87
access-broad-from-bytes,parsed,10,,,43287431.0,ns,90
access-broad-from-bytes,parsed,10,,,44689705.0,ns,93
access-broad-from-bytes,parsed,10,,,46020343.0,ns,96
access-broad-from-bytes,parsed,10,,,47895836.0,ns,99
access-broad-from-bytes,parsed,10,,,49088171.0,ns,102
access-broad-from-bytes,parsed,10,,,50618830.0,ns,105
access-broad-from-bytes,parsed,10,,,51617129.0,ns,108
access-broad-from-bytes,parsed,10,,,53442307.0,ns,111
access-broad-from-bytes,parsed,10,,,54673479.0,ns,114
access-broad-from-bytes,parsed,10,,,56205707.0,ns,117
access-broad-from-bytes,parsed,10,,,57429868.0,ns,120
access-broad-from-bytes,parsed,10,,,59052372.0,ns,123
