group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-broad-from-bytes,parsed,40,,,1561660.0,ns,3
access-broad-from-bytes,parsed,40,,,2977567.0,ns,6
access-broad-from-bytes,parsed,40,,,4306791.0,ns,9
access-broad-from-bytes,parsed,40,,,6137909.0,ns,12
access-broad-from-bytes,parsed,40,,,7389032.0,ns,15
access-broad-from-bytes,parsed,40,,,9011933.0,ns,18
access-broad-from-bytes,parsed,40,,,10373354.0,ns,21
access-broad-from-bytes,parsed,40,,,11743318.0,ns,24
access-broad-from-bytes,parsed,40,,,13365067.0,ns,27
access-broad-from-bytes,parsed,40,,,14515621.0,ns,30
access-broad-from-bytes,parsed,40,,,16121074.0,ns,33
access-broad-from-bytes,parsed,40,,,17591076.0,ns,36
access-broad-from-bytes,parsed,40,,,18983118.0,ns,39
access-broad-from-bytes,parsed,40,,,20343339.0,ns,42
access-broad-from-bytes,parsed,40,,,21717731.0,ns,45
access-broad-from-bytes,parsed,40,,,23286991.0,ns,48
access-broad-from-bytes,parsed,40,,,24686495.0,ns,51
access-broad-from-bytes,parsed,40,,,26176166.0,ns,54
access-broad-from-bytes,parsed,40,,,27594138.0,ns,57
access-broad-from-bytes,parsed,40,,,29167538.0,ns,60
access-broad-from-bytes,parsed,40,,,30479545.0,ns,63
access-broad-from-bytes,parsed,40,,,31913072.0,ns,66
access-broad-from-bytes,parsed,40,,,33095202.0,ns,69
access-broad-from-bytes,parsed,40,,,34591227.0,ns,72
access-broad-from-bytes,parsed,40,,,36331456.0,ns,75
access-broad-from-bytes,parsed,40,,,37315277.0,ns,78
access-broad-from-bytes,parsed,40,,,39210403.0,ns,81
access-broad-from-bytes,parsed,40,,,40436743.0,ns,84
access-broad-from-bytes,parsed,40,,,41870106.0,ns,87
access-broad-from-bytes,parsed,40,,,43601098.0,ns,90
access-broad-from-bytes,parsed,40,,,44789992.0,ns,93
access-broad-from-bytes,parsed,40,,,46781467.0,ns,96
access-broad-from-bytes,parsed,40,,,47687808.0,ns,99
access-broad-from-bytes,parsed,40,,,48901389.0,ns,102
access-broad-from-bytes,parsed,40,,,50513191.0,ns,105
access-broad-from-bytes,parsed,40,,,52397977.0,ns,108
access-broad-from-bytes,parsed,40,,,53633605.0,ns,111
access-broad-from-bytes,parsed,40,,,55022373.0,ns,114
access-broad-from-bytes,parsed,40,,,56409118.0,ns,117
access-broad-from-bytes,parsed,40,,,58068071.0,ns,120
access-broad-from-bytes,parsed,40,,,59151145.0,ns,123
access-broad-from-bytes,parsed,40,,,61405111.0,ns,126
access-broad-from-bytes,parsed,40,,,62500079.0,ns,129
access-broad-from-bytes,parsed,40,,,63697252.0,ns,132
access-broad-from-bytes,parsed,40,,,65526034.0,ns,135
access-broad-from-bytes,parsed,40,,,66716040.0,ns,138
access-broad-from-bytes,parsed,40,,,67927900.0,ns,141
access-broad-from-bytes,parsed,40,,,69528321.0,ns,144
access-broad-from-bytes,parsed,40,,,71336389.0,ns,147
access-broad-from-bytes,parsed,40,,,72379781.0,ns,150
access-broad-from-bytes,parsed,40,,,73988286.0,ns,153
access-broad-from-bytes,parsed,40,,,75448587.0,ns,156
access-broad-from-bytes,parsed,40,,,76546544.0,ns,159
access-broad-from-bytes,parsed,40,,,78250209.0,ns,162
access-broad-from-bytes,parsed,40,,,79397977.0,ns,165
access-broad-from-bytes,parsed,40,,,82491065.0,ns,168
access-broad-from-bytes,parsed,40,,,82561205.0,ns,171
access-broad-from-bytes,parsed,40,,,83850187.0,ns,174
access-broad-from-bytes,parsed,40,,,84934009.0,ns,177
access-broad-from-bytes,parsed,40,,,86704708.0,ns,180
access-broad-from-bytes,parsed,40,,,88535014.0,ns,183
access-broad-from-bytes,parsed,40,,,89120461.0,ns,186
access-broad-from-bytes,parsed,40,,,90830064.0,ns,189
access-broad-from-bytes,parsed,40,,,91832353.0,ns,192
access-broad-from-bytes,parsed,40,,,93695400.0,ns,195
access-broad-from-bytes,parsed,40,,,94904638.0,ns,198
access-broad-from-bytes,parsed,40,,,102413848.0,ns,201
access-broad-from-bytes,parsed,40,,,92650711.0,ns,204
access-broad-from-bytes,parsed,40,,,95243463.0,ns,207
access-broad-from-bytes,parsed,40,,,96615727.0,ns,210
access-broad-from-bytes,parsed,40,,,98507820.0,ns,213
access-broad-from-bytes,parsed,40,,,99889862.0,ns,216
access-broad-from-bytes,parsed,40,,,101743124.0,ns,219
access-broad-from-bytes,parsed,40,,,102692925.0,ns,222
access-broad-from-bytes,parsed,40,,,103807338.0,ns,225
access-broad-from-bytes,parsed,40,,,105350183.0,ns,228
access-broad-from-bytes,parsed,40,,,107631107.0,ns,231
access-broad-from-bytes,parsed,40,,,108595061.0,ns,234
access-broad-from-bytes,parsed,40,,,109836989.0,ns,237
access-broad-from-bytes,parsed,40,,,111259718.0,ns,240
access-broad-from-bytes,parsed,40,,,112698162.0,ns,243
access-broad-from-bytes,parsed,40,,,113946212.0,ns,246
access-broad-from-bytes,parsed,40,,,115680325.0,ns,249
access-broad-from-bytes,parsed,40,,,116741518.0,ns,252
access-broad-from-bytes,parsed,40,,,118029640.0,ns,255
access-broad-from-bytes,parsed,40,,,121653204.0,ns,258
access-broad-from-bytes,parsed,40,,,120716506.0,ns,261
access-broad-from-bytes,parsed,40,,,122335778.0,ns,264
access-broad-from-bytes,parsed,40,,,123556528.0,ns,267
access-broad-from-bytes,parsed,40,,,124996142.0,ns,270
access-broad-from-bytes,parsed,40,,,125863430.0,ns,273
access-broad-from-bytes,parsed,40,,,127853567.0,ns,276
access-broad-from-bytes,parsed,40,,,129111786.0,ns,279
access-broad-from-bytes,parsed,40,,,131347089.0,ns,282
access-broad-from-bytes,parsed,40,,,132138801.0,ns,285
access-broad-from-bytes,parsed,40,,,133267373.0,ns,288
access-broad-from-bytes,parsed,40,,,134887358.0,ns,291
access-broad-from-bytes,parsed,40,,,135905245.0,ns,294
access-broad-from-bytes,parsed,40,,,138043722.0,ns,297
access-broad-from-bytes,parsed,40,,,138753945.0,ns,300
