group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-broad-from-bytes,raw,40,,,1066625.0,ns,1
access-broad-from-bytes,raw,40,,,2044291.0,ns,2
access-broad-from-bytes,raw,40,,,3016251.0,ns,3
access-broad-from-bytes,raw,40,,,4182853.0,ns,4
access-broad-from-bytes,raw,40,,,7252529.0,ns,5
access-broad-from-bytes,raw,40,,,6209936.0,ns,6
access-broad-from-bytes,raw,40,,,7333938.0,ns,7
access-broad-from-bytes,raw,40,,,8289843.0,ns,8
access-broad-from-bytes,raw,40,,,9294867.0,ns,9
access-broad-from-bytes,raw,40,,,10361993.0,ns,10
access-broad-from-bytes,raw,40,,,11230134.0,ns,11
access-broad-from-bytes,raw,40,,,12352751.0,ns,12
access-broad-from-bytes,raw,40,,,13422336.0,ns,13
access-broad-from-bytes,raw,40,,,14100091.0,ns,14
access-broad-from-bytes,raw,40,,,15476609.0,ns,15
access-broad-from-bytes,raw,40,,,16373671.0,ns,16
access-broad-from-bytes,raw,40,,,17173467.0,ns,17
access-broad-from-bytes,raw,40,,,18509857.0,ns,18
access-broad-from-bytes,raw,40,,,19253128.0,ns,19
access-broad-from-bytes,raw,40,,,20418874.0,ns,20
access-broad-from-bytes,raw,40,,,21441933.0,ns,21
access-broad-from-bytes,raw,40,,,22577891.0,ns,22
access-broad-from-bytes,raw,40,,,23850690.0,ns,23
access-broad-from-bytes,raw,40,,,24988107.0,ns,24
access-broad-from-bytes,raw,40,,,25675192.0,ns,25
access-broad-from-bytes,raw,40,,,26714435.0,ns,26
access-broad-from-bytes,raw,40,,,28014947.0,ns,27
access-broad-from-bytes,raw,40,,,28530603.0,ns,28
access-broad-from-bytes,raw,40,,,29881577.0,ns,29
access-broad-from-bytes,raw,40,,,30726372.0,ns,30
access-broad-from-bytes,raw,40,,,31762817.0,ns,31
access-broad-from-bytes,raw,40,,,32806140.0,ns,32
access-broad-from-bytes,raw,40,,,33542207.0,ns,33
access-broad-from-bytes,raw,40,,,34963510.0,ns,34
access-broad-from-bytes,raw,40,,,35950509.0,ns,35
access-broad-from-bytes,raw,40,,,36878419.0,ns,36
access-broad-from-bytes,raw,40,,,37947950.0,ns,37
access-broad-from-bytes,raw,40,,,39014580.0,ns,38
access-broad-from-bytes,raw,40,,,39505503.0,ns,39
access-broad-from-bytes,raw,40,,,41410274.0,ns,40
access-broad-from-bytes,raw,40,,,41881365.0,ns,41
access-broad-from-bytes,raw,40,,,43192001.0,ns,42
access-broad-from-bytes,raw,40,,,44460686.0,ns,43
access-broad-from-bytes,raw,40,,,45333863.0,ns,44
access-broad-from-bytes,raw,40,,,46172679.0,ns,45
access-broad-from-bytes,raw,40,,,46728379.0,ns,46
access-broad-from-bytes,raw,40,,,48224798.0,ns,47
access-broad-from-bytes,raw,40,,,49248959.0,ns,48
access-broad-from-bytes,raw,40,,,50178364.0,ns,49
access-broad-from-bytes,raw,40,,,51141382.0,ns,50
access-broad-from-bytes,raw,40,,,52285963.0,ns,51
access-broad-from-bytes,raw,40,,,53216938.0,ns,52
access-broad-from-bytes,raw,40,,,54597552.0,ns,53
access-broad-from-bytes,raw,40,,,55582067.0,ns,54
access-broad-from-bytes,raw,40,,,56244007.0,ns,55
access-broad-from-bytes,raw,40,,,57317688.0,ns,56
access-broad-from-bytes,raw,40,,,58507661.0,ns,57
access-broad-from-bytes,raw,40,,,59485705.0,ns,58
access-broad-from-bytes,raw,40,,,60572860.0,ns,59
access-broad-from-bytes,raw,40,,,61880676.0,ns,60
access-broad-from-bytes,raw,40,,,62686813.0,ns,61
access-broad-from-bytes,raw,40,,,63917525.0,ns,62
