group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-broad-from-type,parsed,10,,,958346.0,ns,3294
access-broad-from-type,parsed,10,,,1980557.0,ns,6588
access-broad-from-type,parsed,10,,,3031704.0,ns,9882
access-broad-from-type,parsed,10,,,4012683.0,ns,13176
access-broad-from-type,parsed,10,,,5032465.0,ns,16470
access-broad-from-type,parsed,10,,,6150967.0,ns,19764
access-broad-from-type,parsed,10,,,6996568.0,ns,23058
access-broad-from-type,parsed,10,,,7830056.0,ns,26352
access-broad-from-type,parsed,10,,,8799178.0,ns,29646
access-broad-from-type,parsed,10,,,10438930.0,ns,32940
access-broad-from-type,parsed,10,,,10731577.0,ns,36234
access-broad-from-type,parsed,10,,,11907516.0,ns,39528
access-broad-from-type,parsed,10,,,12631521.0,ns,42822
access-broad-from-type,parsed,10,,,13603949.0,ns,46116
access-broad-from-type,parsed,10,,,15789819.0,ns,49410
access-broad-from-type,parsed,10,,,15663091.0,ns,52704
access-broad-from-type,parsed,10,,,16872513.0,ns,55998
access-broad-from-type,parsed,10,,,17546438.0,ns,59292
access-broad-from-type,parsed,10,,,18450238.0,ns,62586
access-broad-from-type,parsed,10,,,19489473.0,ns,65880
access-broad-from-type,parsed,10,,,20417742.0,ns,69174
access-broad-from-type,parsed,10,,,22596751.0,ns,72468
access-broad-from-type,parsed,10,,,22611217.0,ns,75762
access-broad-from-type,parsed,10,,,23940413.0,ns,79056
access-broad-from-type,parsed,10,,,24544834.0,ns,82350
access-broad-from-type,parsed,10,,,25266690.0,ns,85644
access-broad-from-type,parsed,10,,,26514268.0,ns,88938
access-broad-from-type,parsed,10,,,27286722.0,ns,92232
access-broad-from-type,parsed,10,,,28366101.0,ns,95526
access-broad-from-type,parsed,10,,,29359712.0,ns,98820
access-broad-from-type,parsed,10,,,30089738.0,ns,102114
access-broad-from-type,parsed,10,,,31053439.0,ns,105408
access-broad-from-type,parsed,10,,,35339507.0,ns,108702
access-broad-from-type,parsed,10,,,32684431.0,ns,111996
access-broad-from-type,parsed,10,,,33945139.0,ns,115290
access-broad-from-type,parsed,10,,,35269431.0,ns,118584
access-broad-from-type,parsed,10,,,36171094.0,ns,121878
access-broad-from-type,parsed,10,,,36754040.0,ns,125172
