group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-broad-from-type,parsed,30,,,961163.0,ns,1052
access-broad-from-type,parsed,30,,,1951664.0,ns,2104
access-broad-from-type,parsed,30,,,2995929.0,ns,3156
access-broad-from-type,parsed,30,,,3897572.0,ns,4208
access-broad-from-type,parsed,30,,,4979969.0,ns,5260
access-broad-from-type,parsed,30,,,6106706.0,ns,6312
access-broad-from-type,parsed,30,,,6877679.0,ns,7364
access-broad-from-type,parsed,30,,,8030780.0,ns,8416
access-broad-from-type,parsed,30,,,8912108.0,ns,9468
access-broad-from-type,parsed,30,,,9724761.0,ns,10520
access-broad-from-type,parsed,30,,,10603941.0,ns,11572
access-broad-from-type,parsed,30,,,11741778.0,ns,12624
access-broad-from-type,parsed,30,,,12506445.0,ns,13676
access-broad-from-type,parsed,30,,,13619174.0,ns,14728
access-broad-from-type,parsed,30,,,14753019.0,ns,15780
access-broad-from-type,parsed,30,,,15699504.0,ns,16832
access-broad-from-type,parsed,30,,,16411985.0,ns,17884
access-broad-from-type,parsed,30,,,17381549.0,ns,18936
access-broad-from-type,parsed,30,,,18156447.0,ns,19988
access-broad-from-type,parsed,30,,,19436939.0,ns,21040
access-broad-from-type,parsed,30,,,20947470.0,ns,22092
access-broad-from-type,parsed,30,,,22502288.0,ns,23144
access-broad-from-type,parsed,30,,,21996382.0,ns,24196
access-broad-from-type,parsed,30,,,23052107.0,ns,25248
access-broad-from-type,parsed,30,,,24109368.0,ns,26300
access-broad-from-type,parsed,30,,,25213639.0,ns,27352
access-broad-from-type,parsed,30,,,26076282.0,ns,28404
access-broad-from-type,parsed,30,,,27019168.0,ns,29456
access-broad-from-type,parsed,30,,,27945761.0,ns,30508
access-broad-from-type,parsed,30,,,29139363.0,ns,31560
access-broad-from-type,parsed,30,,,30453238.0,ns,32612
access-broad-from-type,parsed,30,,,31382177.0,ns,33664
access-broad-from-type,parsed,30,,,31910276.0,ns,34716
access-broad-from-type,parsed,30,,,32869083.0,ns,35768
access-broad-from-type,parsed,30,,,33812188.0,ns,36820
access-broad-from-type,parsed,30,,,34934234.0,ns,37872
access-broad-from-type,parsed,30,,,35477205.0,ns,38924
access-broad-from-type,parsed,30,,,37125935.0,ns,39976
access-broad-from-type,parsed,30,,,39574528.0,ns,41028
access-broad-from-type,parsed,30,,,38032265.0,ns,42080
access-broad-from-type,parsed,30,,,39791684.0,ns,43132
access-broad-from-type,parsed,30,,,41756774.0,ns,44184
access-broad-from-type,parsed,30,,,41694279.0,ns,45236
access-broad-from-type,parsed,30,,,42727334.0,ns,46288
access-broad-from-type,parsed,30,,,43784565.0,ns,47340
access-broad-from-type,parsed,30,,,43661445.0,ns,48392
access-broad-from-type,parsed,30,,,45178540.0,ns,49444
access-broad-from-type,parsed,30,,,46031222.0,ns,50496
access-broad-from-type,parsed,30,,,47273064.0,ns,51548
access-broad-from-type,parsed,30,,,48133445.0,ns,52600
access-broad-from-type,parsed,30,,,49369172.0,ns,53652
access-broad-from-type,parsed,30,,,50271619.0,ns,54704
access-broad-from-type,parsed,30,,,50793563.0,ns,55756
