group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-broad-from-type,raw,10,,,1028032.0,ns,4
access-broad-from-type,raw,10,,,2026732.0,ns,8
access-broad-from-type,raw,10,,,3093099.0,ns,12
access-broad-from-type,raw,10,,,4140354.0,ns,16
access-broad-from-type,raw,10,,,5249472.0,ns,20
access-broad-from-type,raw,10,,,6028241.0,ns,24
access-broad-from-type,raw,10,,,7117242.0,ns,28
access-broad-from-type,raw,10,,,8057047.0,ns,32
access-broad-from-type,raw,10,,,9144900.0,ns,36
access-broad-from-type,raw,10,,,10025912.0,ns,40
access-broad-from-type,raw,10,,,11048309.0,ns,44
access-broad-from-type,raw,10,,,12090918.0,ns,48
access-broad-from-type,raw,10,,,13563054.0,ns,52
access-broad-from-type,raw,10,,,14250121.0,ns,56
access-broad-from-type,raw,10,,,15145129.0,ns,60
access-broad-from-type,raw,10,,,16026344.0,ns,64
access-broad-from-type,raw,10,,,17136953.0,ns,68
access-broad-from-type,raw,10,,,18236003.0,ns,72
access-broad-from-type,raw,10,,,18784136.0,ns,76
access-broad-from-type,raw,10,,,19905160.0,ns,80
access-broad-from-type,raw,10,,,20887322.0,ns,84
access-broad-from-type,raw,10,,,22280920.0,ns,88
access-broad-from-type,raw,10,,,22834906.0,ns,92
access-broad-from-type,raw,10,,,24123437.0,ns,96
access-broad-from-type,raw,10,,,25272876.0,ns,100
access-broad-from-type,raw,10,,,26067082.0,ns,104
access-broad-from-type,raw,10,,,27241833.0,ns,108
access-broad-from-type,raw,10,,,28089479.0,ns,112
access-broad-from-type,raw,10,,,28876787.0,ns,116
access-broad-from-type,raw,10,,,30093382.0,ns,120
access-broad-from-type,raw,10,,,30920991.0,ns,124
access-broad-from-type,raw,10,,,32130751.0,ns,128
access-broad-from-type,raw,10,,,32777031.0,ns,132
access-broad-from-type,raw,10,,,34224000.0,ns,136
access-broad-from-type,raw,10,,,35044025.0,ns,140
access-broad-from-type,raw,10,,,37132919.0,ns,144
access-broad-from-type,raw,10,,,37309360.0,ns,148
access-broad-from-type,raw,10,,,38077400.0,ns,152
access-broad-from-type,raw,10,,,39083143.0,ns,156
access-broad-from-type,raw,10,,,40037057.0,ns,160
access-broad-from-type,raw,10,,,41369066.0,ns,164
access-broad-from-type,raw,10,,,41980356.0,ns,168
access-broad-from-type,raw,10,,,42944573.0,ns,172
access-broad-from-type,raw,10,,,60789256.0,ns,176
access-broad-from-type,raw,10,,,43867392.0,ns,180
access-broad-from-type,raw,10,,,42572098.0,ns,184
access-broad-from-type,raw,10,,,43920824.0,ns,188
access-broad-from-type,raw,10,,,45872131.0,ns,192
access-broad-from-type,raw,10,,,46512436.0,ns,196
access-broad-from-type,raw,10,,,47321373.0,ns,200
access-broad-from-type,raw,10,,,48534432.0,ns,204
access-broad-from-type,raw,10,,,49649227.0,ns,208
access-broad-from-type,raw,10,,,50433943.0,ns,212
access-broad-from-type,raw,10,,,51543100.0,ns,216
access-broad-from-type,raw,10,,,52560312.0,ns,220
access-broad-from-type,raw,10,,,53581315.0,ns,224
access-broad-from-type,raw,10,,,54414454.0,ns,228
access-broad-from-type,raw,10,,,56446042.0,ns,232
access-broad-from-type,raw,10,,,56494656.0,ns,236
access-broad-from-type,raw,10,,,57569089.0,ns,240
access-broad-from-type,raw,10,,,58785527.0,ns,244
access-broad-from-type,raw,10,,,59268839.0,ns,248
access-broad-from-type,raw,10,,,60496824.0,ns,252
access-broad-from-type,raw,10,,,61254458.0,ns,256
access-broad-from-type,raw,10,,,62291344.0,ns,260
access-broad-from-type,raw,10,,,63208876.0,ns,264
access-broad-from-type,raw,10,,,64675795.0,ns,268
access-broad-from-type,raw,10,,,65144509.0,ns,272
access-broad-from-type,raw,10,,,66110305.0,ns,276
access-broad-from-type,raw,10,,,66902795.0,ns,280
access-broad-from-type,raw,10,,,68043236.0,ns,284
access-broad-from-type,raw,10,,,69405941.0,ns,288
access-broad-from-type,raw,10,,,70003958.0,ns,292
access-broad-from-type,raw,10,,,71231518.0,ns,296
access-broad-from-type,raw,10,,,71895237.0,ns,300
access-broad-from-type,raw,10,,,72474472.0,ns,304
access-broad-from-type,raw,10,,,73562236.0,ns,308
access-broad-from-type,raw,10,,,74825961.0,ns,312
access-broad-from-type,raw,10,,,75397639.0,ns,316
access-broad-from-type,raw,10,,,76944244.0,ns,320
access-broad-from-type,raw,10,,,77816857.0,ns,324
access-broad-from-type,raw,10,,,78314138.0,ns,328
access-broad-from-type,raw,10,,,79765178.0,ns,332
access-broad-from-type,raw,10,,,79910656.0,ns,336
access-broad-from-type,raw,10,,,81158139.0,ns,340
access-broad-from-type,raw,10,,,81867323.0,ns,344
access-broad-from-type,raw,10,,,83503405.0,ns,348
access-broad-from-type,raw,10,,,83873341.0,ns,352
access-broad-from-type,raw,10,,,84868962.0,ns,356
access-broad-from-type,raw,10,,,85813207.0,ns,360
access-broad-from-type,raw,10,,,86314000.0,ns,364
access-broad-from-type,raw,10,,,87479605.0,ns,368
access-broad-from-type,raw,10,,,88361055.0,ns,372
access-broad-from-type,raw,10,,,90083864.0,ns,376
access-broad-from-type,raw,10,,,90416512.0,ns,380
access-broad-from-type,raw,10,,,91384176.0,ns,384
access-broad-from-type,raw,10,,,91999560.0,ns,388
access-broad-from-type,raw,10,,,93527300.0,ns,392
access-broad-from-type,raw,10,,,94066899.0,ns,396
access-broad-from-type,raw,10,,,95163718.0,ns,400
