group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-broad-from-type,raw,20,,,1458950.0,ns,3
access-broad-from-type,raw,20,,,2981003.0,ns,6
access-broad-from-type,raw,20,,,4305021.0,ns,9
access-broad-from-type,raw,20,,,5882786.0,ns,12
access-broad-from-type,raw,20,,,7156282.0,ns,15
access-broad-from-type,raw,20,,,8790459.0,ns,18
access-broad-from-type,raw,20,,,9920382.0,ns,21
access-broad-from-type,raw,20,,,11515418.0,ns,24
access-broad-from-type,raw,20,,,13083603.0,ns,27
access-broad-from-type,raw,20,,,14330784.0,ns,30
access-broad-from-type,raw,20,,,15856620.0,ns,33
access-broad-from-type,raw,20,,,17534755.0,ns,36
access-broad-from-type,raw,20,,,18653339.0,ns,39
access-broad-from-type,raw,20,,,20087627.0,ns,42
access-broad-from-type,raw,20,,,21470968.0,ns,45
access-broad-from-type,raw,20,,,23190336.0,ns,48
access-broad-from-type,raw,20,,,24736677.0,ns,51
access-broad-from-type,raw,20,,,26093708.0,ns,54
access-broad-from-type,raw,20,,,27670192.0,ns,57
access-broad-from-type,raw,20,,,29089345.0,ns,60
access-broad-from-type,raw,20,,,30089621.0,ns,63
access-broad-from-type,raw,20,,,31557121.0,ns,66
access-broad-from-type,raw,20,,,32951926.0,ns,69
access-broad-from-type,raw,20,,,34734660.0,ns,72
access-broad-from-type,raw,20,,,35947672.0,ns,75
access-broad-from-type,raw,20,,,37311855.0,ns,78
access-broad-from-type,raw,20,,,39442752.0,ns,81
access-broad-from-type,raw,20,,,41416098.0,ns,84
access-broad-from-type,raw,20,,,42204970.0,ns,87
access-broad-from-type,raw,20,,,42898010.0,ns,90
access-broad-from-type,raw,20,,,44856740.0,ns,93
access-broad-from-type,raw,20,,,45921427.0,ns,96
access-broad-from-type,raw,20,,,47579811.0,ns,99
access-broad-from-type,raw,20,,,48478239.0,ns,102
access-broad-from-type,raw,20,,,49817309.0,ns,105
access-broad-from-type,raw,20,,,51376750.0,ns,108
access-broad-from-type,raw,20,,,52990824.0,ns,111
access-broad-from-type,raw,20,,,54234649.0,ns,114
access-broad-from-type,raw,20,,,58978188.0,ns,117
access-broad-from-type,raw,20,,,59606734.0,ns,120
access-broad-from-type,raw,20,,,62077056.0,ns,123
access-broad-from-type,raw,20,,,63430797.0,ns,126
access-broad-from-type,raw,20,,,63383832.0,ns,129
access-broad-from-type,raw,20,,,63143436.0,ns,132
access-broad-from-type,raw,20,,,65533686.0,ns,135
access-broad-from-type,raw,20,,,66634261.0,ns,138
access-broad-from-type,raw,20,,,69382342.0,ns,141
access-broad-from-type,raw,20,,,69440557.0,ns,144
access-broad-from-type,raw,20,,,70724973.0,ns,147
access-broad-from-type,raw,20,,,71808827.0,ns,150
access-broad-from-type,raw,20,,,74093976.0,ns,153
access-broad-from-type,raw,20,,,74892409.0,ns,156
access-broad-from-type,raw,20,,,76029207.0,ns,159
access-broad-from-type,raw,20,,,77663536.0,ns,162
access-broad-from-type,raw,20,,,78761545.0,ns,165
access-broad-from-type,raw,20,,,79896618.0,ns,168
access-broad-from-type,raw,20,,,81568905.0,ns,171
access-broad-from-type,raw,20,,,82737260.0,ns,174
access-broad-from-type,raw,20,,,85312948.0,ns,177
access-broad-from-type,raw,20,,,87193234.0,ns,180
access-broad-from-type,raw,20,,,87212069.0,ns,183
access-broad-from-type,raw,20,,,89173147.0,ns,186
access-broad-from-type,raw,20,,,90004788.0,ns,189
access-broad-from-type,raw,20,,,91045056.0,ns,192
access-broad-from-type,raw,20,,,93367728.0,ns,195
access-broad-from-type,raw,20,,,94336973.0,ns,198
access-broad-from-type,raw,20,,,95487733.0,ns,201
access-broad-from-type,raw,20,,,97206249.0,ns,204
access-broad-from-type,raw,20,,,98915704.0,ns,207
access-broad-from-type,raw,20,,,99996538.0,ns,210
access-broad-from-type,raw,20,,,102300422.0,ns,213
access-broad-from-type,raw,20,,,103030935.0,ns,216
access-broad-from-type,raw,20,,,103688603.0,ns,219
access-broad-from-type,raw,20,,,105113748.0,ns,222
access-broad-from-type,raw,20,,,106419369.0,ns,225
access-broad-from-type,raw,20,,,108464256.0,ns,228
access-broad-from-type,raw,20,,,109427757.0,ns,231
access-broad-from-type,raw,20,,,110825103.0,ns,234
access-broad-from-type,raw,20,,,111905811.0,ns,237
access-broad-from-type,raw,20,,,114611065.0,ns,240
access-broad-from-type,raw,20,,,115832471.0,ns,243
access-broad-from-type,raw,20,,,116530893.0,ns,246
access-broad-from-type,raw,20,,,117943983.0,ns,249
access-broad-from-type,raw,20,,,118973720.0,ns,252
access-broad-from-type,raw,20,,,121266002.0,ns,255
access-broad-from-type,raw,20,,,122595450.0,ns,258
access-broad-from-type,raw,20,,,123466500.0,ns,261
access-broad-from-type,raw,20,,,125419601.0,ns,264
access-broad-from-type,raw,20,,,127031241.0,ns,267
access-broad-from-type,raw,20,,,128799665.0,ns,270
access-broad-from-type,raw,20,,,128491928.0,ns,273
access-broad-from-type,raw,20,,,130278284.0,ns,276
access-broad-from-type,raw,20,,,131915122.0,ns,279
access-broad-from-type,raw,20,,,132703969.0,ns,282
access-broad-from-type,raw,20,,,134751186.0,ns,285
access-broad-from-type,raw,20,,,136909855.0,ns,288
access-broad-from-type,raw,20,,,140657004.0,ns,291
access-broad-from-type,raw,20,,,138600518.0,ns,294
access-broad-from-type,raw,20,,,140902095.0,ns,297
access-broad-from-type,raw,20,,,141711230.0,ns,300
