group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-deep-from-bytes,parsed,10,,,1029010.0,ns,222
access-deep-from-bytes,parsed,10,,,1962516.0,ns,444
access-deep-from-bytes,parsed,10,,,2932088.0,ns,666
access-deep-from-bytes,parsed,10,,,3896765.0,ns,888
access-deep-from-bytes,parsed,10,,,5006979.0,ns,1110
access-deep-from-bytes,parsed,10,,,6014468.0,ns,1332
access-deep-from-bytes,parsed,10,,,6870729.0,ns,1554
access-deep-from-bytes,parsed,10,,,7943717.0,ns,1776
access-deep-from-bytes,parsed,10,,,8842926.0,ns,1998
access-deep-from-bytes,parsed,10,,,9856925.0,ns,2220
access-deep-from-bytes,parsed,10,,,10774074.0,ns,2442
access-deep-from-bytes,parsed,10,,,11727028.0,ns,2664
access-deep-from-bytes,parsed,10,,,12862783.0,ns,2886
access-deep-from-bytes,parsed,10,,,13742208.0,ns,3108
access-deep-from-bytes,parsed,10,,,14687754.0,ns,3330
access-deep-from-bytes,parsed,10,,,15857292.0,ns,3552
access-deep-from-bytes,parsed,10,,,16577762.0,ns,3774
access-deep-from-bytes,parsed,10,,,17736337.0,ns,3996
access-deep-from-bytes,parsed,10,,,18619563.0,ns,4218
access-deep-from-bytes,parsed,10,,,19519584.0,ns,4440
access-deep-from-bytes,parsed,10,,,20607416.0,ns,4662
access-deep-from-bytes,parsed,10,,,21779613.0,ns,4884
access-deep-from-bytes,parsed,10,,,22602660.0,ns,5106
access-deep-from-bytes,parsed,10,,,23481535.0,ns,5328
access-deep-from-bytes,parsed,10,,,24423216.0,ns,5550
access-deep-from-bytes,parsed,10,,,25449083.0,ns,5772
access-deep-from-bytes,parsed,10,,,26403238.0,ns,5994
access-deep-from-bytes,parsed,10,,,27506566.0,ns,6216
access-deep-from-bytes,parsed,10,,,28446030.0,ns,6438
access-deep-from-bytes,parsed,10,,,29360565.0,ns,6660
access-deep-from-bytes,parsed,10,,,30553829.0,ns,6882
access-deep-from-bytes,parsed,10,,,31466779.0,ns,7104
access-deep-from-bytes,parsed,10,,,32122349.0,ns,7326
access-deep-from-bytes,parsed,10,,,33339367.0,ns,7548
access-deep-from-bytes,parsed,10,,,35159024.0,ns,7770
access-deep-from-bytes,parsed,10,,,36566033.0,ns,7992
access-deep-from-bytes,parsed,10,,,37369283.0,ns,8214
access-deep-from-bytes,parsed,10,,,38059638.0,ns,8436
access-deep-from-bytes,parsed,10,,,39295319.0,ns,8658
access-deep-from-bytes,parsed,10,,,40759964.0,ns,8880
access-deep-from-bytes,parsed,10,,,41594395.0,ns,9102
access-deep-from-bytes,parsed,10,,,42490516.0,ns,9324
access-deep-from-bytes,parsed,10,,,43011504.0,ns,9546
access-deep-from-bytes,parsed,10,,,44687160.0,ns,9768
access-deep-from-bytes,parsed,10,,,45537023.0,ns,9990
access-deep-from-bytes,parsed,10,,,46502799.0,ns,10212
access-deep-from-bytes,parsed,10,,,46912099.0,ns,10434
access-deep-from-bytes,parsed,10,,,48149553.0,ns,10656
access-deep-from-bytes,parsed,10,,,49297117.0,ns,10878
access-deep-from-bytes,parsed,10,,,49870828.0,ns,11100
