group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-deep-from-bytes,raw,1000,,,1015512.0,ns,30
access-deep-from-bytes,raw,1000,,,1958624.0,ns,60
access-deep-from-bytes,raw,1000,,,3189697.0,ns,90
access-deep-from-bytes,raw,1000,,,4017994.0,ns,120
access-deep-from-bytes,raw,1000,,,5246381.0,ns,150
access-deep-from-bytes,raw,1000,,,5930586.0,ns,180
access-deep-from-bytes,raw,1000,,,7029752.0,ns,210
access-deep-from-bytes,raw,1000,,,8156978.0,ns,240
access-deep-from-bytes,raw,1000,,,9022680.0,ns,270
access-deep-from-bytes,raw,1000,,,9986610.0,ns,300
access-deep-from-bytes,raw,1000,,,11091853.0,ns,330
access-deep-from-bytes,raw,1000,,,11984728.0,ns,360
access-deep-from-bytes,raw,1000,,,12957777.0,ns,390
access-deep-from-bytes,raw,1000,,,14042320.0,ns,420
access-deep-from-bytes,raw,1000,,,15207021.0,ns,450
access-deep-from-bytes,raw,1000,,,16141480.0,ns,480
access-deep-from-bytes,raw,1000,,,16920656.0,ns,510
access-deep-from-bytes,raw,1000,,,17878196.0,ns,540
access-deep-from-bytes,raw,1000,,,18975095.0,ns,570
access-deep-from-bytes,raw,1000,,,20137240.0,ns,600
access-deep-from-bytes,raw,1000,,,20790067.0,ns,630
access-deep-from-bytes,raw,1000,,,21789141.0,ns,660
access-deep-from-bytes,raw,1000,,,22894368.0,ns,690
access-deep-from-bytes,raw,1000,,,23913438.0,ns,720
access-deep-from-bytes,raw,1000,,,25863582.0,ns,750
access-deep-from-bytes,raw,1000,,,26189989.0,ns,780
access-deep-from-bytes,raw,1000,,,26957555.0,ns,810
access-deep-from-bytes,raw,1000,,,27916268.0,ns,840
access-deep-from-bytes,raw,1000,,,29381473.0,ns,870
access-deep-from-bytes,raw,1000,,,29947666.0,ns,900
access-deep-from-bytes,raw,1000,,,30900277.0,ns,930
access-deep-from-bytes,raw,1000,,,32773660.0,ns,960
access-deep-from-bytes,raw,1000,,,33277019.0,ns,990
access-deep-from-bytes,raw,1000,,,34188759.0,ns,1020
access-deep-from-bytes,raw,1000,,,35309825.0,ns,1050
access-deep-from-bytes,raw,1000,,,39607972.0,ns,1080
access-deep-from-bytes,raw,1000,,,37580068.0,ns,1110
access-deep-from-bytes,raw,1000,,,38524789.0,ns,1140
access-deep-from-bytes,raw,1000,,,39210295.0,ns,1170
access-deep-from-bytes,raw,1000,,,41599608.0,ns,1200
access-deep-from-bytes,raw,1000,,,42686053.0,ns,1230
access-deep-from-bytes,raw,1000,,,42108031.0,ns,1260
access-deep-from-bytes,raw,1000,,,43728595.0,ns,1290
access-deep-from-bytes,raw,1000,,,44560525.0,ns,1320
access-deep-from-bytes,raw,1000,,,45548736.0,ns,1350
access-deep-from-bytes,raw,1000,,,54774667.0,ns,1380
access-deep-from-bytes,raw,1000,,,47071024.0,ns,1410
access-deep-from-bytes,raw,1000,,,48267382.0,ns,1440
access-deep-from-bytes,raw,1000,,,49077386.0,ns,1470
access-deep-from-bytes,raw,1000,,,50007373.0,ns,1500
access-deep-from-bytes,raw,1000,,,51350707.0,ns,1530
access-deep-from-bytes,raw,1000,,,51961519.0,ns,1560
access-deep-from-bytes,raw,1000,,,53742901.0,ns,1590
access-deep-from-bytes,raw,1000,,,54640435.0,ns,1620
access-deep-from-bytes,raw,1000,,,55068521.0,ns,1650
access-deep-from-bytes,raw,1000,,,56045864.0,ns,1680
access-deep-from-bytes,raw,1000,,,57198769.0,ns,1710
access-deep-from-bytes,raw,1000,,,57629000.0,ns,1740
access-deep-from-bytes,raw,1000,,,58539942.0,ns,1770
access-deep-from-bytes,raw,1000,,,59696718.0,ns,1800
access-deep-from-bytes,raw,1000,,,60615707.0,ns,1830
access-deep-from-bytes,raw,1000,,,61997857.0,ns,1860
access-deep-from-bytes,raw,1000,,,63521180.0,ns,1890
access-deep-from-bytes,raw,1000,,,63953077.0,ns,1920
access-deep-from-bytes,raw,1000,,,64908648.0,ns,1950
access-deep-from-bytes,raw,1000,,,66457462.0,ns,1980
access-deep-from-bytes,raw,1000,,,66919713.0,ns,2010
access-deep-from-bytes,raw,1000,,,68638799.0,ns,2040
access-deep-from-bytes,raw,1000,,,69512938.0,ns,2070
access-deep-from-bytes,raw,1000,,,71079457.0,ns,2100
access-deep-from-bytes,raw,1000,,,72374491.0,ns,2130
access-deep-from-bytes,raw,1000,,,72154156.0,ns,2160
access-deep-from-bytes,raw,1000,,,73129098.0,ns,2190
access-deep-from-bytes,raw,1000,,,73461580.0,ns,2220
access-deep-from-bytes,raw,1000,,,74699143.0,ns,2250
access-deep-from-bytes,raw,1000,,,75764920.0,ns,2280
access-deep-from-bytes,raw,1000,,,76973075.0,ns,2310
access-deep-from-bytes,raw,1000,,,77784493.0,ns,2340
access-deep-from-bytes,raw,1000,,,79015677.0,ns,2370
access-deep-from-bytes,raw,1000,,,79497301.0,ns,2400
access-deep-from-bytes,raw,1000,,,81111826.0,ns,2430
access-deep-from-bytes,raw,1000,,,81746731.0,ns,2460
access-deep-from-bytes,raw,1000,,,82173953.0,ns,2490
access-deep-from-bytes,raw,1000,,,83296415.0,ns,2520
access-deep-from-bytes,raw,1000,,,84465066.0,ns,2550
access-deep-from-bytes,raw,1000,,,85290046.0,ns,2580
access-deep-from-bytes,raw,1000,,,86717798.0,ns,2610
access-deep-from-bytes,raw,1000,,,87522187.0,ns,2640
access-deep-from-bytes,raw,1000,,,89177456.0,ns,2670
access-deep-from-bytes,raw,1000,,,89505654.0,ns,2700
access-deep-from-bytes,raw,1000,,,90592896.0,ns,2730
access-deep-from-bytes,raw,1000,,,90986203.0,ns,2760
access-deep-from-bytes,raw,1000,,,92135624.0,ns,2790
access-deep-from-bytes,raw,1000,,,93627856.0,ns,2820
access-deep-from-bytes,raw,1000,,,94537990.0,ns,2850
access-deep-from-bytes,raw,1000,,,95427134.0,ns,2880
access-deep-from-bytes,raw,1000,,,96860417.0,ns,2910
access-deep-from-bytes,raw,1000,,,97230437.0,ns,2940
access-deep-from-bytes,raw,1000,,,98331024.0,ns,2970
access-deep-from-bytes,raw,1000,,,99849081.0,ns,3000
