group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-deep-from-type,parsed,100,,,977700.0,ns,18
access-deep-from-type,parsed,100,,,1982927.0,ns,36
access-deep-from-type,parsed,100,,,2982234.0,ns,54
access-deep-from-type,parsed,100,,,4178806.0,ns,72
access-deep-from-type,parsed,100,,,5000178.0,ns,90
access-deep-from-type,parsed,100,,,6135313.0,ns,108
access-deep-from-type,parsed,100,,,6987071.0,ns,126
access-deep-from-type,parsed,100,,,7904224.0,ns,144
access-deep-from-type,parsed,100,,,9038767.0,ns,162
access-deep-from-type,parsed,100,,,9925817.0,ns,180
access-deep-from-type,parsed,100,,,10779507.0,ns,198
access-deep-from-type,parsed,100,,,11776015.0,ns,216
access-deep-from-type,parsed,100,,,12939881.0,ns,234
access-deep-from-type,parsed,100,,,13682528.0,ns,252
access-deep-from-type,parsed,100,,,14886348.0,ns,270
access-deep-from-type,parsed,100,,,15935778.0,ns,288
access-deep-from-type,parsed,100,,,16771669.0,ns,306
access-deep-from-type,parsed,100,,,17804804.0,ns,324
access-deep-from-type,parsed,100,,,18927123.0,ns,342
access-deep-from-type,parsed,100,,,20441778.0,ns,360
access-deep-from-type,parsed,100,,,20746565.0,ns,378
access-deep-from-type,parsed,100,,,21913446.0,ns,396
access-deep-from-type,parsed,100,,,22840944.0,ns,414
access-deep-from-type,parsed,100,,,23814388.0,ns,432
access-deep-from-type,parsed,100,,,24775588.0,ns,450
access-deep-from-type,parsed,100,,,25770455.0,ns,468
access-deep-from-type,parsed,100,,,26776521.0,ns,486
access-deep-from-type,parsed,100,,,27995026.0,ns,504
access-deep-from-type,parsed,100,,,28725505.0,ns,522
access-deep-from-type,parsed,100,,,29651668.0,ns,540
access-deep-from-type,parsed,100,,,30791174.0,ns,558
access-deep-from-type,parsed,100,,,32091706.0,ns,576
access-deep-from-type,parsed,100,,,32773871.0,ns,594
access-deep-from-type,parsed,100,,,33633689.0,ns,612
access-deep-from-type,parsed,100,,,34896423.0,ns,630
access-deep-from-type,parsed,100,,,35652752.0,ns,648
access-deep-from-type,parsed,100,,,36737724.0,ns,666
access-deep-from-type,parsed,100,,,37725850.0,ns,684
access-deep-from-type,parsed,100,,,38511657.0,ns,702
access-deep-from-type,parsed,100,,,39531866.0,ns,720
access-deep-from-type,parsed,100,,,40404520.0,ns,738
access-deep-from-type,parsed,100,,,42129256.0,ns,756
access-deep-from-type,parsed,100,,,42621070.0,ns,774
access-deep-from-type,parsed,100,,,43830456.0,ns,792
access-deep-from-type,parsed,100,,,44399131.0,ns,810
access-deep-from-type,parsed,100,,,45591904.0,ns,828
access-deep-from-type,parsed,100,,,46335494.0,ns,846
access-deep-from-type,parsed,100,,,47242805.0,ns,864
access-deep-from-type,parsed,100,,,49453079.0,ns,882
access-deep-from-type,parsed,100,,,49453281.0,ns,900
access-deep-from-type,parsed,100,,,50477154.0,ns,918
access-deep-from-type,parsed,100,,,51386544.0,ns,936
access-deep-from-type,parsed,100,,,53063112.0,ns,954
access-deep-from-type,parsed,100,,,53300491.0,ns,972
access-deep-from-type,parsed,100,,,54475471.0,ns,990
access-deep-from-type,parsed,100,,,55893793.0,ns,1008
access-deep-from-type,parsed,100,,,57135187.0,ns,1026
access-deep-from-type,parsed,100,,,57872919.0,ns,1044
access-deep-from-type,parsed,100,,,58427048.0,ns,1062
access-deep-from-type,parsed,100,,,59280972.0,ns,1080
