group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-deep-from-type,parsed,1000,,,1320334.0,ns,1
access-deep-from-type,parsed,1000,,,2653928.0,ns,2
access-deep-from-type,parsed,1000,,,3852394.0,ns,3
access-deep-from-type,parsed,1000,,,5601361.0,ns,4
access-deep-from-type,parsed,1000,,,8041040.0,ns,5
access-deep-from-type,parsed,1000,,,7777528.0,ns,6
access-deep-from-type,parsed,1000,,,8856407.0,ns,7
access-deep-from-type,parsed,1000,,,10137668.0,ns,8
access-deep-from-type,parsed,1000,,,11788733.0,ns,9
access-deep-from-type,parsed,1000,,,12755731.0,ns,10
access-deep-from-type,parsed,1000,,,13927924.0,ns,11
access-deep-from-type,parsed,1000,,,15231329.0,ns,12
access-deep-from-type,parsed,1000,,,16523342.0,ns,13
access-deep-from-type,parsed,1000,,,17817864.0,ns,14
access-deep-from-type,parsed,1000,,,19117906.0,ns,15
access-deep-from-type,parsed,1000,,,20209310.0,ns,16
access-deep-from-type,parsed,1000,,,21505763.0,ns,17
access-deep-from-type,parsed,1000,,,22751380.0,ns,18
access-deep-from-type,parsed,1000,,,24462679.0,ns,19
access-deep-from-type,parsed,1000,,,25369559.0,ns,20
access-deep-from-type,parsed,1000,,,27302456.0,ns,21
access-deep-from-type,parsed,1000,,,27948085.0,ns,22
access-deep-from-type,parsed,1000,,,29510996.0,ns,23
access-deep-from-type,parsed,1000,,,30649058.0,ns,24
access-deep-from-type,parsed,1000,,,32015199.0,ns,25
access-deep-from-type,parsed,1000,,,33156914.0,ns,26
access-deep-from-type,parsed,1000,,,34316011.0,ns,27
access-deep-from-type,parsed,1000,,,35408786.0,ns,28
access-deep-from-type,parsed,1000,,,36808979.0,ns,29
access-deep-from-type,parsed,1000,,,38167278.0,ns,30
access-deep-from-type,parsed,1000,,,39110900.0,ns,31
access-deep-from-type,parsed,1000,,,40707518.0,ns,32
access-deep-from-type,parsed,1000,,,41790364.0,ns,33
access-deep-from-type,parsed,1000,,,43043579.0,ns,34
access-deep-from-type,parsed,1000,,,44329401.0,ns,35
access-deep-from-type,parsed,1000,,,45656749.0,ns,36
access-deep-from-type,parsed,1000,,,46966152.0,ns,37
access-deep-from-type,parsed,1000,,,48060779.0,ns,38
access-deep-from-type,parsed,1000,,,49445261.0,ns,39
access-deep-from-type,parsed,1000,,,50671131.0,ns,40
access-deep-from-type,parsed,1000,,,52502205.0,ns,41
access-deep-from-type,parsed,1000,,,53443465.0,ns,42
access-deep-from-type,parsed,1000,,,54309257.0,ns,43
access-deep-from-type,parsed,1000,,,55851173.0,ns,44
access-deep-from-type,parsed,1000,,,57037097.0,ns,45
access-deep-from-type,parsed,1000,,,58388985.0,ns,46
access-deep-from-type,parsed,1000,,,60289965.0,ns,47
access-deep-from-type,parsed,1000,,,60594738.0,ns,48
access-deep-from-type,parsed,1000,,,62023868.0,ns,49
access-deep-from-type,parsed,1000,,,63441141.0,ns,50
access-deep-from-type,parsed,1000,,,64631197.0,ns,51
access-deep-from-type,parsed,1000,,,65665642.0,ns,52
