group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-deep-from-type,raw,10,,,940938.0,ns,1622
access-deep-from-type,raw,10,,,1991407.0,ns,3244
access-deep-from-type,raw,10,,,2925377.0,ns,4866
access-deep-from-type,raw,10,,,3873433.0,ns,6488
access-deep-from-type,raw,10,,,4787033.0,ns,8110
access-deep-from-type,raw,10,,,5843321.0,ns,9732
access-deep-from-type,raw,10,,,6829406.0,ns,11354
access-deep-from-type,raw,10,,,7711317.0,ns,12976
access-deep-from-type,raw,10,,,8710070.0,ns,14598
access-deep-from-type,raw,10,,,9783848.0,ns,16220
access-deep-from-type,raw,10,,,10762549.0,ns,17842
access-deep-from-type,raw,10,,,11604188.0,ns,19464
access-deep-from-type,raw,10,,,12647808.0,ns,21086
access-deep-from-type,raw,10,,,13631006.0,ns,22708
access-deep-from-type,raw,10,,,14585303.0,ns,24330
access-deep-from-type,raw,10,,,15467068.0,ns,25952
access-deep-from-type,raw,10,,,16369005.0,ns,27574
access-deep-from-type,raw,10,,,17338668.0,ns,29196
access-deep-from-type,raw,10,,,18427795.0,ns,30818
access-deep-from-type,raw,10,,,19469356.0,ns,32440
access-deep-from-type,raw,10,,,20449653.0,ns,34062
access-deep-from-type,raw,10,,,21416655.0,ns,35684
access-deep-from-type,raw,10,,,22150508.0,ns,37306
access-deep-from-type,raw,10,,,23251598.0,ns,38928
access-deep-from-type,raw,10,,,24213578.0,ns,40550
access-deep-from-type,raw,10,,,25144724.0,ns,42172
access-deep-from-type,raw,10,,,26044079.0,ns,43794
access-deep-from-type,raw,10,,,26990485.0,ns,45416
access-deep-from-type,raw,10,,,28007990.0,ns,47038
access-deep-from-type,raw,10,,,28745913.0,ns,48660
access-deep-from-type,raw,10,,,29847119.0,ns,50282
access-deep-from-type,raw,10,,,31022955.0,ns,51904
access-deep-from-type,raw,10,,,31869876.0,ns,53526
access-deep-from-type,raw,10,,,33421682.0,ns,55148
access-deep-from-type,raw,10,,,33994675.0,ns,56770
access-deep-from-type,raw,10,,,35491152.0,ns,58392
access-deep-from-type,raw,10,,,35896278.0,ns,60014
access-deep-from-type,raw,10,,,36613325.0,ns,61636
access-deep-from-type,raw,10,,,37696473.0,ns,63258
access-deep-from-type,raw,10,,,38627618.0,ns,64880
access-deep-from-type,raw,10,,,39594779.0,ns,66502
access-deep-from-type,raw,10,,,40478157.0,ns,68124
access-deep-from-type,raw,10,,,41281205.0,ns,69746
access-deep-from-type,raw,10,,,42603396.0,ns,71368
access-deep-from-type,raw,10,,,43564792.0,ns,72990
access-deep-from-type,raw,10,,,44551692.0,ns,74612
access-deep-from-type,raw,10,,,45668757.0,ns,76234
access-deep-from-type,raw,10,,,46563405.0,ns,77856
access-deep-from-type,raw,10,,,47322764.0,ns,79478
access-deep-from-type,raw,10,,,48255382.0,ns,81100
access-deep-from-type,raw,10,,,49148771.0,ns,82722
access-deep-from-type,raw,10,,,50175729.0,ns,84344
access-deep-from-type,raw,10,,,51243895.0,ns,85966
access-deep-from-type,raw,10,,,52371831.0,ns,87588
access-deep-from-type,raw,10,,,53032923.0,ns,89210
access-deep-from-type,raw,10,,,54018235.0,ns,90832
access-deep-from-type,raw,10,,,55685429.0,ns,92454
access-deep-from-type,raw,10,,,55904602.0,ns,94076
access-deep-from-type,raw,10,,,57145623.0,ns,95698
access-deep-from-type,raw,10,,,57817616.0,ns,97320
access-deep-from-type,raw,10,,,58804135.0,ns,98942
access-deep-from-type,raw,10,,,59993915.0,ns,100564
access-deep-from-type,raw,10,,,60561236.0,ns,102186
access-deep-from-type,raw,10,,,61842285.0,ns,103808
access-deep-from-type,raw,10,,,63071298.0,ns,105430
access-deep-from-type,raw,10,,,63554549.0,ns,107052
access-deep-from-type,raw,10,,,64948822.0,ns,108674
access-deep-from-type,raw,10,,,65513732.0,ns,110296
access-deep-from-type,raw,10,,,66611299.0,ns,111918
access-deep-from-type,raw,10,,,67514727.0,ns,113540
access-deep-from-type,raw,10,,,68560803.0,ns,115162
access-deep-from-type,raw,10,,,69393435.0,ns,116784
access-deep-from-type,raw,10,,,70980165.0,ns,118406
access-deep-from-type,raw,10,,,71685049.0,ns,120028
access-deep-from-type,raw,10,,,72355034.0,ns,121650
access-deep-from-type,raw,10,,,73214557.0,ns,123272
access-deep-from-type,raw,10,,,74312507.0,ns,124894
access-deep-from-type,raw,10,,,75383576.0,ns,126516
access-deep-from-type,raw,10,,,76397942.0,ns,128138
access-deep-from-type,raw,10,,,77344505.0,ns,129760
access-deep-from-type,raw,10,,,78731630.0,ns,131382
access-deep-from-type,raw,10,,,79374421.0,ns,133004
access-deep-from-type,raw,10,,,80091918.0,ns,134626
access-deep-from-type,raw,10,,,81547373.0,ns,136248
access-deep-from-type,raw,10,,,82335473.0,ns,137870
access-deep-from-type,raw,10,,,83848914.0,ns,139492
access-deep-from-type,raw,10,,,84072855.0,ns,141114
access-deep-from-type,raw,10,,,84944504.0,ns,142736
access-deep-from-type,raw,10,,,86162265.0,ns,144358
access-deep-from-type,raw,10,,,87216617.0,ns,145980
