group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-deep-from-type,raw,100,,,986630.0,ns,265
access-deep-from-type,raw,100,,,1983822.0,ns,530
access-deep-from-type,raw,100,,,3028784.0,ns,795
access-deep-from-type,raw,100,,,3990810.0,ns,1060
access-deep-from-type,raw,100,,,5142748.0,ns,1325
access-deep-from-type,raw,100,,,6000986.0,ns,1590
access-deep-from-type,raw,100,,,7025348.0,ns,1855
access-deep-from-type,raw,100,,,7948378.0,ns,2120
access-deep-from-type,raw,100,,,8912885.0,ns,2385
access-deep-from-type,raw,100,,,9988629.0,ns,2650
access-deep-from-type,raw,100,,,10836082.0,ns,2915
access-deep-from-type,raw,100,,,11903488.0,ns,3180
access-deep-from-type,raw,100,,,12912861.0,ns,3445
access-deep-from-type,raw,100,,,13891777.0,ns,3710
access-deep-from-type,raw,100,,,14944275.0,ns,3975
access-deep-from-type,raw,100,,,15914185.0,ns,4240
access-deep-from-type,raw,100,,,16901220.0,ns,4505
access-deep-from-type,raw,100,,,17894479.0,ns,4770
access-deep-from-type,raw,100,,,18934996.0,ns,5035
access-deep-from-type,raw,100,,,19872489.0,ns,5300
access-deep-from-type,raw,100,,,20888211.0,ns,5565
access-deep-from-type,raw,100,,,21875422.0,ns,5830
access-deep-from-type,raw,100,,,22804162.0,ns,6095
access-deep-from-type,raw,100,,,23788466.0,ns,6360
access-deep-from-type,raw,100,,,25029144.0,ns,6625
access-deep-from-type,raw,100,,,26097798.0,ns,6890
access-deep-from-type,raw,100,,,26868942.0,ns,7155
access-deep-from-type,raw,100,,,27746902.0,ns,7420
access-deep-from-type,raw,100,,,28724795.0,ns,7685
access-deep-from-type,raw,100,,,29646846.0,ns,7950
access-deep-from-type,raw,100,,,30620264.0,ns,8215
access-deep-from-type,raw,100,,,31558209.0,ns,8480
access-deep-from-type,raw,100,,,32683862.0,ns,8745
access-deep-from-type,raw,100,,,33671623.0,ns,9010
access-deep-from-type,raw,100,,,34606589.0,ns,9275
access-deep-from-type,raw,100,,,35396286.0,ns,9540
access-deep-from-type,raw,100,,,36736490.0,ns,9805
access-deep-from-type,raw,100,,,37618153.0,ns,10070
access-deep-from-type,raw,100,,,38655336.0,ns,10335
access-deep-from-type,raw,100,,,39660180.0,ns,10600
access-deep-from-type,raw,100,,,40617612.0,ns,10865
access-deep-from-type,raw,100,,,41509703.0,ns,11130
