group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
construct-bson-broad,direct,,,,1489625.0,ns,3
construct-bson-broad,direct,,,,2939477.0,ns,6
construct-bson-broad,direct,,,,4373988.0,ns,9
construct-bson-broad,direct,,,,5973045.0,ns,12
construct-bson-broad,direct,,,,7113362.0,ns,15
construct-bson-broad,direct,,,,8768442.0,ns,18
construct-bson-broad,direct,,,,10227117.0,ns,21
construct-bson-broad,direct,,,,11665046.0,ns,24
construct-bson-broad,direct,,,,13087483.0,ns,27
construct-bson-broad,direct,,,,14410327.0,ns,30
construct-bson-broad,direct,,,,15898346.0,ns,33
construct-bson-broad,direct,,,,17328096.0,ns,36
construct-bson-broad,direct,,,,18842929.0,ns,39
construct-bson-broad,direct,,,,20359447.0,ns,42
construct-bson-broad,direct,,,,21675501.0,ns,45
construct-bson-broad,direct,,,,23249623.0,ns,48
construct-bson-broad,direct,,,,24742649.0,ns,51
construct-bson-broad,direct,,,,25936951.0,ns,54
construct-bson-broad,direct,,,,27329155.0,ns,57
construct-bson-broad,direct,,,,29041246.0,ns,60
construct-bson-broad,direct,,,,30683753.0,ns,63
construct-bson-broad,direct,,,,31843155.0,ns,66
construct-bson-broad,direct,,,,33296775.0,ns,69
construct-bson-broad,direct,,,,34500252.0,ns,72
construct-bson-broad,direct,,,,36587532.0,ns,75
construct-bson-broad,direct,,,,37686839.0,ns,78
construct-bson-broad,direct,,,,38997308.0,ns,81
construct-bson-broad,direct,,,,40541800.0,ns,84
construct-bson-broad,direct,,,,42169645.0,ns,87
construct-bson-broad,direct,,,,43397689.0,ns,90
construct-bson-broad,direct,,,,44751116.0,ns,93
construct-bson-broad,direct,,,,46213478.0,ns,96
construct-bson-broad,direct,,,,47760635.0,ns,99
construct-bson-broad,direct,,,,49164994.0,ns,102
construct-bson-broad,direct,,,,50461111.0,ns,105
construct-bson-broad,direct,,,,52512305.0,ns,108
construct-bson-broad,direct,,,,53537325.0,ns,111
construct-bson-broad,direct,,,,54913915.0,ns,114
construct-bson-broad,direct,,,,56392354.0,ns,117
construct-bson-broad,direct,,,,57794688.0,ns,120
construct-bson-broad,direct,,,,59177639.0,ns,123
construct-bson-broad,direct,,,,60751798.0,ns,126
construct-bson-broad,direct,,,,61741256.0,ns,129
construct-bson-broad,direct,,,,63703885.0,ns,132
construct-bson-broad,direct,,,,64462564.0,ns,135
construct-bson-broad,direct,,,,66205988.0,ns,138
construct-bson-broad,direct,,,,68144257.0,ns,141
construct-bson-broad,direct,,,,69031845.0,ns,144
construct-bson-broad,direct,,,,70275585.0,ns,147
construct-bson-broad,direct,,,,72103544.0,ns,150
construct-bson-broad,direct,,,,72981070.0,ns,153
construct-bson-broad,direct,,,,75256382.0,ns,156
construct-bson-broad,direct,,,,76196879.0,ns,159
construct-bson-broad,direct,,,,78484725.0,ns,162
construct-bson-broad,direct,,,,78954253.0,ns,165
construct-bson-broad,direct,,,,80577576.0,ns,168
construct-bson-broad,direct,,,,81898062.0,ns,171
construct-bson-broad,direct,,,,83675027.0,ns,174
construct-bson-broad,direct,,,,84930862.0,ns,177
construct-bson-broad,direct,,,,86829272.0,ns,180
construct-bson-broad,direct,,,,87679352.0,ns,183
construct-bson-broad,direct,,,,89209039.0,ns,186
construct-bson-broad,direct,,,,90861699.0,ns,189
construct-bson-broad,direct,,,,92509840.0,ns,192
construct-bson-broad,direct,,,,93460555.0,ns,195
construct-bson-broad,direct,,,,95058560.0,ns,198
construct-bson-broad,direct,,,,95911630.0,ns,201
construct-bson-broad,direct,,,,97796962.0,ns,204
construct-bson-broad,direct,,,,99371603.0,ns,207
construct-bson-broad,direct,,,,100368552.0,ns,210
construct-bson-broad,direct,,,,102185055.0,ns,213
construct-bson-broad,direct,,,,103452315.0,ns,216
construct-bson-broad,direct,,,,105012724.0,ns,219
construct-bson-broad,direct,,,,106767361.0,ns,222
construct-bson-broad,direct,,,,107835196.0,ns,225
construct-bson-broad,direct,,,,109563833.0,ns,228
construct-bson-broad,direct,,,,111007857.0,ns,231
construct-bson-broad,direct,,,,112116485.0,ns,234
construct-bson-broad,direct,,,,113492801.0,ns,237
construct-bson-broad,direct,,,,114895475.0,ns,240
construct-bson-broad,direct,,,,116216959.0,ns,243
construct-bson-broad,direct,,,,117159165.0,ns,246
construct-bson-broad,direct,,,,119521040.0,ns,249
construct-bson-broad,direct,,,,120613346.0,ns,252
construct-bson-broad,direct,,,,122068630.0,ns,255
construct-bson-broad,direct,,,,123359673.0,ns,258
construct-bson-broad,direct,,,,124682306.0,ns,261
construct-bson-broad,direct,,,,126354557.0,ns,264
construct-bson-broad,direct,,,,127668538.0,ns,267
construct-bson-broad,direct,,,,129222975.0,ns,270
construct-bson-broad,direct,,,,131137576.0,ns,273
construct-bson-broad,direct,,,,132160876.0,ns,276
construct-bson-broad,direct,,,,133361306.0,ns,279
construct-bson-broad,direct,,,,134759109.0,ns,282
construct-bson-broad,direct,,,,135613284.0,ns,285
construct-bson-broad,direct,,,,137769757.0,ns,288
construct-bson-broad,direct,,,,139061727.0,ns,291
construct-bson-broad,direct,,,,140960023.0,ns,294
construct-bson-broad,direct,,,,141794918.0,ns,297
construct-bson-broad,direct,,,,143592197.0,ns,300
