group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
construct-bson-broad,via-raw,,,,1180126.0,ns,3
construct-bson-broad,via-raw,,,,2318303.0,ns,6
construct-bson-broad,via-raw,,,,3623331.0,ns,9
construct-bson-broad,via-raw,,,,4809164.0,ns,12
construct-bson-broad,via-raw,,,,6017370.0,ns,15
construct-bson-broad,via-raw,,,,7146068.0,ns,18
construct-bson-broad,via-raw,,,,8331078.0,ns,21
construct-bson-broad,via-raw,,,,9528134.0,ns,24
construct-bson-broad,via-raw,,,,10741501.0,ns,27
construct-bson-broad,via-raw,,,,11818398.0,ns,30
construct-bson-broad,via-raw,,,,13111801.0,ns,33
construct-bson-broad,via-raw,,,,14359913.0,ns,36
construct-bson-broad,via-raw,,,,15641643.0,ns,39
construct-bson-broad,via-raw,,,,16736551.0,ns,42
construct-bson-broad,via-raw,,,,17961127.0,ns,45
construct-bson-broad,via-raw,,,,18985714.0,ns,48
construct-bson-broad,via-raw,,,,20342632.0,ns,51
construct-bson-broad,via-raw,,,,21416272.0,ns,54
construct-bson-broad,via-raw,,,,22720052.0,ns,57
construct-bson-broad,via-raw,,,,23883560.0,ns,60
construct-bson-broad,via-raw,,,,25041816.0,ns,63
construct-bson-broad,via-raw,,,,26178394.0,ns,66
construct-bson-broad,via-raw,,,,28115899.0,ns,69
construct-bson-broad,via-raw,,,,28573493.0,ns,72
construct-bson-broad,via-raw,,,,30110243.0,ns,75
construct-bson-broad,via-raw,,,,31091507.0,ns,78
construct-bson-broad,via-raw,,,,32332671.0,ns,81
construct-bson-broad,via-raw,,,,33424055.0,ns,84
construct-bson-broad,via-raw,,,,34655642.0,ns,87
construct-bson-broad,via-raw,,,,35845011.0,ns,90
construct-bson-broad,via-raw,,,,36908494.0,ns,93
construct-bson-broad,via-raw,,,,38480639.0,ns,96
construct-bson-broad,via-raw,,,,39140125.0,ns,99
construct-bson-broad,via-raw,,,,40738086.0,ns,102
construct-bson-broad,via-raw,,,,41799631.0,ns,105
construct-bson-broad,via-raw,,,,42909702.0,ns,108
construct-bson-broad,via-raw,,,,44312046.0,ns,111
construct-bson-broad,via-raw,,,,45264045.0,ns,114
construct-bson-broad,via-raw,,,,47018675.0,ns,117
construct-bson-broad,via-raw,,,,47945262.0,ns,120
construct-bson-broad,via-raw,,,,48691809.0,ns,123
construct-bson-broad,via-raw,,,,50037979.0,ns,126
construct-bson-broad,via-raw,,,,53101378.0,ns,129
construct-bson-broad,via-raw,,,,53891952.0,ns,132
construct-bson-broad,via-raw,,,,53661365.0,ns,135
construct-bson-broad,via-raw,,,,54751307.0,ns,138
construct-bson-broad,via-raw,,,,55987999.0,ns,141
construct-bson-broad,via-raw,,,,56898170.0,ns,144
construct-bson-broad,via-raw,,,,58912114.0,ns,147
construct-bson-broad,via-raw,,,,59524044.0,ns,150
construct-bson-broad,via-raw,,,,60751359.0,ns,153
construct-bson-broad,via-raw,,,,62037207.0,ns,156
construct-bson-broad,via-raw,,,,63195793.0,ns,159
construct-bson-broad,via-raw,,,,64254895.0,ns,162
construct-bson-broad,via-raw,,,,65247831.0,ns,165
construct-bson-broad,via-raw,,,,66508349.0,ns,168
construct-bson-broad,via-raw,,,,68309947.0,ns,171
construct-bson-broad,via-raw,,,,68648378.0,ns,174
construct-bson-broad,via-raw,,,,70122055.0,ns,177
construct-bson-broad,via-raw,,,,71183680.0,ns,180
construct-bson-broad,via-raw,,,,72426557.0,ns,183
construct-bson-broad,via-raw,,,,74183302.0,ns,186
construct-bson-broad,via-raw,,,,81263322.0,ns,189
construct-bson-broad,via-raw,,,,86301981.0,ns,192
construct-bson-broad,via-raw,,,,77842433.0,ns,195
construct-bson-broad,via-raw,,,,78785880.0,ns,198
construct-bson-broad,via-raw,,,,79836321.0,ns,201
construct-bson-broad,via-raw,,,,81172825.0,ns,204
construct-bson-broad,via-raw,,,,82282100.0,ns,207
construct-bson-broad,via-raw,,,,84126953.0,ns,210
construct-bson-broad,via-raw,,,,84433838.0,ns,213
construct-bson-broad,via-raw,,,,85979823.0,ns,216
construct-bson-broad,via-raw,,,,87072273.0,ns,219
construct-bson-broad,via-raw,,,,88256994.0,ns,222
construct-bson-broad,via-raw,,,,89693207.0,ns,225
construct-bson-broad,via-raw,,,,90721357.0,ns,228
construct-bson-broad,via-raw,,,,92209261.0,ns,231
construct-bson-broad,via-raw,,,,93254025.0,ns,234
construct-bson-broad,via-raw,,,,94171575.0,ns,237
construct-bson-broad,via-raw,,,,96027198.0,ns,240
construct-bson-broad,via-raw,,,,97851455.0,ns,243
construct-bson-broad,via-raw,,,,98044382.0,ns,246
construct-bson-broad,via-raw,,,,99704453.0,ns,249
construct-bson-broad,via-raw,,,,100854273.0,ns,252
construct-bson-broad,via-raw,,,,103366486.0,ns,255
construct-bson-broad,via-raw,,,,102797686.0,ns,258
construct-bson-broad,via-raw,,,,103918247.0,ns,261
construct-bson-broad,via-raw,,,,105348951.0,ns,264
construct-bson-broad,via-raw,,,,105446713.0,ns,267
construct-bson-broad,via-raw,,,,107197669.0,ns,270
construct-bson-broad,via-raw,,,,109444468.0,ns,273
construct-bson-broad,via-raw,,,,109788873.0,ns,276
construct-bson-broad,via-raw,,,,110911498.0,ns,279
construct-bson-broad,via-raw,,,,111736806.0,ns,282
construct-bson-broad,via-raw,,,,113237912.0,ns,285
construct-bson-broad,via-raw,,,,114161419.0,ns,288
construct-bson-broad,via-raw,,,,115995714.0,ns,291
construct-bson-broad,via-raw,,,,116755181.0,ns,294
construct-bson-broad,via-raw,,,,118446088.0,ns,297
construct-bson-broad,via-raw,,,,119243324.0,ns,300
