group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
construct-bson-deep,direct,,,,1186754.0,ns,1
construct-bson-deep,direct,,,,2468887.0,ns,2
construct-bson-deep,direct,,,,3596149.0,ns,3
construct-bson-deep,direct,,,,6316521.0,ns,4
construct-bson-deep,direct,,,,6928297.0,ns,5
construct-bson-deep,direct,,,,7314603.0,ns,6
construct-bson-deep,direct,,,,8382810.0,ns,7
construct-bson-deep,direct,,,,9767702.0,ns,8
construct-bson-deep,direct,,,,10833106.0,ns,9
construct-bson-deep,direct,,,,12062645.0,ns,10
construct-bson-deep,direct,,,,13175812.0,ns,11
construct-bson-deep,direct,,,,14448861.0,ns,12
construct-bson-deep,direct,,,,15566403.0,ns,13
construct-bson-deep,direct,,,,16908338.0,ns,14
construct-bson-deep,direct,,,,17996083.0,ns,15
construct-bson-deep,direct,,,,19096889.0,ns,16
construct-bson-deep,direct,,,,20298415.0,ns,17
construct-bson-deep,direct,,,,21469437.0,ns,18
construct-bson-deep,direct,,,,22732494.0,ns,19
construct-bson-deep,direct,,,,24046910.0,ns,20
construct-bson-deep,direct,,,,25321610.0,ns,21
construct-bson-deep,direct,,,,26657628.0,ns,22
construct-bson-deep,direct,,,,27782350.0,ns,23
construct-bson-deep,direct,,,,28944273.0,ns,24
construct-bson-deep,direct,,,,30126156.0,ns,25
construct-bson-deep,direct,,,,31324082.0,ns,26
construct-bson-deep,direct,,,,32504180.0,ns,27
construct-bson-deep,direct,,,,33654262.0,ns,28
construct-bson-deep,direct,,,,34844635.0,ns,29
construct-bson-deep,direct,,,,36109222.0,ns,30
construct-bson-deep,direct,,,,37202729.0,ns,31
construct-bson-deep,direct,,,,38539320.0,ns,32
construct-bson-deep,direct,,,,39739194.0,ns,33
construct-bson-deep,direct,,,,40948750.0,ns,34
construct-bson-deep,direct,,,,42121622.0,ns,35
construct-bson-deep,direct,,,,44327251.0,ns,36
construct-bson-deep,direct,,,,44561818.0,ns,37
construct-bson-deep,direct,,,,45637108.0,ns,38
construct-bson-deep,direct,,,,46775585.0,ns,39
construct-bson-deep,direct,,,,47928258.0,ns,40
construct-bson-deep,direct,,,,49173936.0,ns,41
construct-bson-deep,direct,,,,50236328.0,ns,42
construct-bson-deep,direct,,,,51593317.0,ns,43
construct-bson-deep,direct,,,,52923433.0,ns,44
construct-bson-deep,direct,,,,54120307.0,ns,45
construct-bson-deep,direct,,,,55182497.0,ns,46
construct-bson-deep,direct,,,,56411487.0,ns,47
construct-bson-deep,direct,,,,57585418.0,ns,48
construct-bson-deep,direct,,,,58987292.0,ns,49
construct-bson-deep,direct,,,,60235486.0,ns,50
construct-bson-deep,direct,,,,61010690.0,ns,51
construct-bson-deep,direct,,,,62212120.0,ns,52
construct-bson-deep,direct,,,,64354283.0,ns,53
construct-bson-deep,direct,,,,64886931.0,ns,54
construct-bson-deep,direct,,,,66960406.0,ns,55
construct-bson-deep,direct,,,,67080641.0,ns,56
construct-bson-deep,direct,,,,68865693.0,ns,57
construct-bson-deep,direct,,,,69366247.0,ns,58
construct-bson-deep,direct,,,,70937790.0,ns,59
construct-bson-deep,direct,,,,72142996.0,ns,60
construct-bson-deep,direct,,,,73091274.0,ns,61
construct-bson-deep,direct,,,,74696750.0,ns,62
construct-bson-deep,direct,,,,75700483.0,ns,63
construct-bson-deep,direct,,,,77434788.0,ns,64
construct-bson-deep,direct,,,,77947254.0,ns,65
construct-bson-deep,direct,,,,79282667.0,ns,66
construct-bson-deep,direct,,,,80702590.0,ns,67
construct-bson-deep,direct,,,,82752373.0,ns,68
construct-bson-deep,direct,,,,82988382.0,ns,69
construct-bson-deep,direct,,,,84973587.0,ns,70
construct-bson-deep,direct,,,,85486960.0,ns,71
construct-bson-deep,direct,,,,86608518.0,ns,72
construct-bson-deep,direct,,,,87905957.0,ns,73
construct-bson-deep,direct,,,,89232873.0,ns,74
construct-bson-deep,direct,,,,90262670.0,ns,75
construct-bson-deep,direct,,,,92231699.0,ns,76
construct-bson-deep,direct,,,,92562086.0,ns,77
construct-bson-deep,direct,,,,93829867.0,ns,78
construct-bson-deep,direct,,,,96345464.0,ns,79
construct-bson-deep,direct,,,,96241385.0,ns,80
construct-bson-deep,direct,,,,97778860.0,ns,81
construct-bson-deep,direct,,,,98522434.0,ns,82
construct-bson-deep,direct,,,,99771571.0,ns,83
construct-bson-deep,direct,,,,101285558.0,ns,84
construct-bson-deep,direct,,,,102153697.0,ns,85
construct-bson-deep,direct,,,,103599922.0,ns,86
construct-bson-deep,direct,,,,104523712.0,ns,87
construct-bson-deep,direct,,,,105730658.0,ns,88
construct-bson-deep,direct,,,,108183159.0,ns,89
construct-bson-deep,direct,,,,108216639.0,ns,90
construct-bson-deep,direct,,,,110293300.0,ns,91
construct-bson-deep,direct,,,,110271970.0,ns,92
construct-bson-deep,direct,,,,111730789.0,ns,93
construct-bson-deep,direct,,,,112917490.0,ns,94
construct-bson-deep,direct,,,,113912757.0,ns,95
construct-bson-deep,direct,,,,115135202.0,ns,96
construct-bson-deep,direct,,,,116974561.0,ns,97
construct-bson-deep,direct,,,,118909088.0,ns,98
construct-bson-deep,direct,,,,120878784.0,ns,99
construct-bson-deep,direct,,,,120856979.0,ns,100
