group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
construct-bson-deep,via-raw,,,,1432742.0,ns,3
construct-bson-deep,via-raw,,,,2733550.0,ns,6
construct-bson-deep,via-raw,,,,4077554.0,ns,9
construct-bson-deep,via-raw,,,,5703593.0,ns,12
construct-bson-deep,via-raw,,,,6948761.0,ns,15
construct-bson-deep,via-raw,,,,8328626.0,ns,18
construct-bson-deep,via-raw,,,,9609535.0,ns,21
construct-bson-deep,via-raw,,,,11015237.0,ns,24
construct-bson-deep,via-raw,,,,12321344.0,ns,27
construct-bson-deep,via-raw,,,,13973259.0,ns,30
construct-bson-deep,via-raw,,,,15155499.0,ns,33
construct-bson-deep,via-raw,,,,17139682.0,ns,36
construct-bson-deep,via-raw,,,,18149817.0,ns,39
construct-bson-deep,via-raw,,,,19384825.0,ns,42
construct-bson-deep,via-raw,,,,20782597.0,ns,45
construct-bson-deep,via-raw,,,,22042474.0,ns,48
construct-bson-deep,via-raw,,,,23398008.0,ns,51
construct-bson-deep,via-raw,,,,24987518.0,ns,54
construct-bson-deep,via-raw,,,,26160954.0,ns,57
construct-bson-deep,via-raw,,,,27747552.0,ns,60
construct-bson-deep,via-raw,,,,29092690.0,ns,63
construct-bson-deep,via-raw,,,,30732432.0,ns,66
construct-bson-deep,via-raw,,,,31964048.0,ns,69
construct-bson-deep,via-raw,,,,33295600.0,ns,72
construct-bson-deep,via-raw,,,,35691543.0,ns,75
construct-bson-deep,via-raw,,,,35972761.0,ns,78
construct-bson-deep,via-raw,,,,37414889.0,ns,81
construct-bson-deep,via-raw,,,,38752083.0,ns,84
construct-bson-deep,via-raw,,,,40299720.0,ns,87
construct-bson-deep,via-raw,,,,41938683.0,ns,90
construct-bson-deep,via-raw,,,,42997727.0,ns,93
construct-bson-deep,via-raw,,,,44161025.0,ns,96
construct-bson-deep,via-raw,,,,45636324.0,ns,99
construct-bson-deep,via-raw,,,,46925643.0,ns,102
construct-bson-deep,via-raw,,,,48935286.0,ns,105
construct-bson-deep,via-raw,,,,49896666.0,ns,108
construct-bson-deep,via-raw,,,,51697471.0,ns,111
