group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iter-broad-from-bytes,parsed,,,,1053515.0,ns,2
iter-broad-from-bytes,parsed,,,,2102719.0,ns,4
iter-broad-from-bytes,parsed,,,,3149528.0,ns,6
iter-broad-from-bytes,parsed,,,,4220225.0,ns,8
iter-broad-from-bytes,parsed,,,,5453156.0,ns,10
iter-broad-from-bytes,parsed,,,,6527815.0,ns,12
iter-broad-from-bytes,parsed,,,,7581537.0,ns,14
iter-broad-from-bytes,parsed,,,,8601094.0,ns,16
iter-broad-from-bytes,parsed,,,,9613414.0,ns,18
iter-broad-from-bytes,parsed,,,,10796299.0,ns,20
iter-broad-from-bytes,parsed,,,,11706311.0,ns,22
iter-broad-from-bytes,parsed,,,,12713348.0,ns,24
iter-broad-from-bytes,parsed,,,,13890732.0,ns,26
iter-broad-from-bytes,parsed,,,,14881012.0,ns,28
iter-broad-from-bytes,parsed,,,,15987853.0,ns,30
iter-broad-from-bytes,parsed,,,,17037288.0,ns,32
iter-broad-from-bytes,parsed,,,,18252701.0,ns,34
iter-broad-from-bytes,parsed,,,,19204471.0,ns,36
iter-broad-from-bytes,parsed,,,,20146850.0,ns,38
iter-broad-from-bytes,parsed,,,,21460757.0,ns,40
iter-broad-from-bytes,parsed,,,,22401114.0,ns,42
iter-broad-from-bytes,parsed,,,,23440830.0,ns,44
iter-broad-from-bytes,parsed,,,,24416422.0,ns,46
iter-broad-from-bytes,parsed,,,,25608303.0,ns,48
iter-broad-from-bytes,parsed,,,,26433460.0,ns,50
iter-broad-from-bytes,parsed,,,,27687149.0,ns,52
iter-broad-from-bytes,parsed,,,,28825362.0,ns,54
iter-broad-from-bytes,parsed,,,,29759489.0,ns,56
iter-broad-from-bytes,parsed,,,,31052579.0,ns,58
iter-broad-from-bytes,parsed,,,,32063750.0,ns,60
iter-broad-from-bytes,parsed,,,,33024726.0,ns,62
iter-broad-from-bytes,parsed,,,,34510517.0,ns,64
iter-broad-from-bytes,parsed,,,,35582060.0,ns,66
iter-broad-from-bytes,parsed,,,,36597009.0,ns,68
iter-broad-from-bytes,parsed,,,,37656010.0,ns,70
iter-broad-from-bytes,parsed,,,,38671812.0,ns,72
iter-broad-from-bytes,parsed,,,,39870203.0,ns,74
iter-broad-from-bytes,parsed,,,,40560993.0,ns,76
iter-broad-from-bytes,parsed,,,,41663809.0,ns,78
iter-broad-from-bytes,parsed,,,,42759898.0,ns,80
iter-broad-from-bytes,parsed,,,,43922694.0,ns,82
iter-broad-from-bytes,parsed,,,,44917872.0,ns,84
iter-broad-from-bytes,parsed,,,,45993921.0,ns,86
iter-broad-from-bytes,parsed,,,,47230163.0,ns,88
iter-broad-from-bytes,parsed,,,,48214348.0,ns,90
iter-broad-from-bytes,parsed,,,,49571390.0,ns,92
iter-broad-from-bytes,parsed,,,,50322943.0,ns,94
iter-broad-from-bytes,parsed,,,,51667950.0,ns,96
iter-broad-from-bytes,parsed,,,,52404175.0,ns,98
iter-broad-from-bytes,parsed,,,,53422051.0,ns,100
iter-broad-from-bytes,parsed,,,,54447130.0,ns,102
iter-broad-from-bytes,parsed,,,,55563187.0,ns,104
iter-broad-from-bytes,parsed,,,,56692375.0,ns,106
iter-broad-from-bytes,parsed,,,,58240716.0,ns,108
iter-broad-from-bytes,parsed,,,,59050128.0,ns,110
iter-broad-from-bytes,parsed,,,,60005425.0,ns,112
iter-broad-from-bytes,parsed,,,,61094627.0,ns,114
iter-broad-from-bytes,parsed,,,,62039131.0,ns,116
iter-broad-from-bytes,parsed,,,,63162409.0,ns,118
iter-broad-from-bytes,parsed,,,,64232514.0,ns,120
iter-broad-from-bytes,parsed,,,,65209374.0,ns,122
iter-broad-from-bytes,parsed,,,,66562828.0,ns,124
iter-broad-from-bytes,parsed,,,,67555356.0,ns,126
iter-broad-from-bytes,parsed,,,,68160486.0,ns,128
iter-broad-from-bytes,parsed,,,,69780969.0,ns,130
iter-broad-from-bytes,parsed,,,,70765466.0,ns,132
iter-broad-from-bytes,parsed,,,,71692606.0,ns,134
iter-broad-from-bytes,parsed,,,,72872842.0,ns,136
iter-broad-from-bytes,parsed,,,,74419923.0,ns,138
iter-broad-from-bytes,parsed,,,,74982987.0,ns,140
iter-broad-from-bytes,parsed,,,,75948787.0,ns,142
iter-broad-from-bytes,parsed,,,,77163092.0,ns,144
iter-broad-from-bytes,parsed,,,,78297665.0,ns,146
iter-broad-from-bytes,parsed,,,,78842913.0,ns,148
iter-broad-from-bytes,parsed,,,,80178262.0,ns,150
iter-broad-from-bytes,parsed,,,,81231533.0,ns,152
iter-broad-from-bytes,parsed,,,,82155055.0,ns,154
iter-broad-from-bytes,parsed,,,,83675435.0,ns,156
iter-broad-from-bytes,parsed,,,,84268164.0,ns,158
iter-broad-from-bytes,parsed,,,,85454089.0,ns,160
iter-broad-from-bytes,parsed,,,,86061657.0,ns,162
iter-broad-from-bytes,parsed,,,,87802382.0,ns,164
iter-broad-from-bytes,parsed,,,,88142246.0,ns,166
iter-broad-from-bytes,parsed,,,,89025890.0,ns,168
iter-broad-from-bytes,parsed,,,,89514677.0,ns,170
iter-broad-from-bytes,parsed,,,,91260931.0,ns,172
iter-broad-from-bytes,parsed,,,,92397951.0,ns,174
iter-broad-from-bytes,parsed,,,,93324447.0,ns,176
iter-broad-from-bytes,parsed,,,,94484129.0,ns,178
iter-broad-from-bytes,parsed,,,,95439619.0,ns,180
iter-broad-from-bytes,parsed,,,,96487984.0,ns,182
iter-broad-from-bytes,parsed,,,,97404753.0,ns,184
iter-broad-from-bytes,parsed,,,,98645760.0,ns,186
iter-broad-from-bytes,parsed,,,,99849212.0,ns,188
iter-broad-from-bytes,parsed,,,,100190868.0,ns,190
iter-broad-from-bytes,parsed,,,,101103030.0,ns,192
iter-broad-from-bytes,parsed,,,,102173069.0,ns,194
iter-broad-from-bytes,parsed,,,,103195356.0,ns,196
iter-broad-from-bytes,parsed,,,,104219115.0,ns,198
iter-broad-from-bytes,parsed,,,,105229789.0,ns,200
