group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iter-broad-from-bytes,raw,,,,981253.0,ns,34
iter-broad-from-bytes,raw,,,,1957790.0,ns,68
iter-broad-from-bytes,raw,,,,2937471.0,ns,102
iter-broad-from-bytes,raw,,,,3970128.0,ns,136
iter-broad-from-bytes,raw,,,,4917389.0,ns,170
iter-broad-from-bytes,raw,,,,6031027.0,ns,204
iter-broad-from-bytes,raw,,,,6990319.0,ns,238
iter-broad-from-bytes,raw,,,,7911620.0,ns,272
iter-broad-from-bytes,raw,,,,8912845.0,ns,306
iter-broad-from-bytes,raw,,,,9867922.0,ns,340
iter-broad-from-bytes,raw,,,,10900010.0,ns,374
iter-broad-from-bytes,raw,,,,11942833.0,ns,408
iter-broad-from-bytes,raw,,,,12718253.0,ns,442
iter-broad-from-bytes,raw,,,,13841232.0,ns,476
iter-broad-from-bytes,raw,,,,15158934.0,ns,510
iter-broad-from-bytes,raw,,,,15690322.0,ns,544
iter-broad-from-bytes,raw,,,,16715650.0,ns,578
iter-broad-from-bytes,raw,,,,17627844.0,ns,612
iter-broad-from-bytes,raw,,,,18703995.0,ns,646
iter-broad-from-bytes,raw,,,,19571473.0,ns,680
iter-broad-from-bytes,raw,,,,20626536.0,ns,714
iter-broad-from-bytes,raw,,,,21696901.0,ns,748
iter-broad-from-bytes,raw,,,,22548689.0,ns,782
iter-broad-from-bytes,raw,,,,23622524.0,ns,816
iter-broad-from-bytes,raw,,,,24753612.0,ns,850
iter-broad-from-bytes,raw,,,,25760289.0,ns,884
iter-broad-from-bytes,raw,,,,26599401.0,ns,918
iter-broad-from-bytes,raw,,,,27799191.0,ns,952
iter-broad-from-bytes,raw,,,,28896096.0,ns,986
iter-broad-from-bytes,raw,,,,29941693.0,ns,1020
iter-broad-from-bytes,raw,,,,30750833.0,ns,1054
iter-broad-from-bytes,raw,,,,31646448.0,ns,1088
iter-broad-from-bytes,raw,,,,32658189.0,ns,1122
iter-broad-from-bytes,raw,,,,33478125.0,ns,1156
iter-broad-from-bytes,raw,,,,34869552.0,ns,1190
iter-broad-from-bytes,raw,,,,35541463.0,ns,1224
iter-broad-from-bytes,raw,,,,36523928.0,ns,1258
iter-broad-from-bytes,raw,,,,37462122.0,ns,1292
iter-broad-from-bytes,raw,,,,38832747.0,ns,1326
iter-broad-from-bytes,raw,,,,40056833.0,ns,1360
iter-broad-from-bytes,raw,,,,41060069.0,ns,1394
iter-broad-from-bytes,raw,,,,41909450.0,ns,1428
iter-broad-from-bytes,raw,,,,43062243.0,ns,1462
iter-broad-from-bytes,raw,,,,43845671.0,ns,1496
iter-broad-from-bytes,raw,,,,44444710.0,ns,1530
iter-broad-from-bytes,raw,,,,45614576.0,ns,1564
iter-broad-from-bytes,raw,,,,46339215.0,ns,1598
iter-broad-from-bytes,raw,,,,47407433.0,ns,1632
iter-broad-from-bytes,raw,,,,48480216.0,ns,1666
iter-broad-from-bytes,raw,,,,49203618.0,ns,1700
iter-broad-from-bytes,raw,,,,50172598.0,ns,1734
iter-broad-from-bytes,raw,,,,51303059.0,ns,1768
iter-broad-from-bytes,raw,,,,52350900.0,ns,1802
iter-broad-from-bytes,raw,,,,53647760.0,ns,1836
iter-broad-from-bytes,raw,,,,54261041.0,ns,1870
iter-broad-from-bytes,raw,,,,55364669.0,ns,1904
iter-broad-from-bytes,raw,,,,56258001.0,ns,1938
iter-broad-from-bytes,raw,,,,56784622.0,ns,1972
iter-broad-from-bytes,raw,,,,57962705.0,ns,2006
iter-broad-from-bytes,raw,,,,58724508.0,ns,2040
iter-broad-from-bytes,raw,,,,59945322.0,ns,2074
iter-broad-from-bytes,raw,,,,60864407.0,ns,2108
iter-broad-from-bytes,raw,,,,62025401.0,ns,2142
iter-broad-from-bytes,raw,,,,62794667.0,ns,2176
iter-broad-from-bytes,raw,,,,63966115.0,ns,2210
iter-broad-from-bytes,raw,,,,65159119.0,ns,2244
iter-broad-from-bytes,raw,,,,66237197.0,ns,2278
iter-broad-from-bytes,raw,,,,67183761.0,ns,2312
iter-broad-from-bytes,raw,,,,67974713.0,ns,2346
iter-broad-from-bytes,raw,,,,69707016.0,ns,2380
iter-broad-from-bytes,raw,,,,70325882.0,ns,2414
iter-broad-from-bytes,raw,,,,70738972.0,ns,2448
iter-broad-from-bytes,raw,,,,72260496.0,ns,2482
iter-broad-from-bytes,raw,,,,72998049.0,ns,2516
iter-broad-from-bytes,raw,,,,74171709.0,ns,2550
iter-broad-from-bytes,raw,,,,75000580.0,ns,2584
