group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iter-broad-from-type,parsed,,,,1016843.0,ns,221
iter-broad-from-type,parsed,,,,1987318.0,ns,442
iter-broad-from-type,parsed,,,,3001858.0,ns,663
iter-broad-from-type,parsed,,,,4197313.0,ns,884
iter-broad-from-type,parsed,,,,5283765.0,ns,1105
iter-broad-from-type,parsed,,,,5966901.0,ns,1326
iter-broad-from-type,parsed,,,,7267281.0,ns,1547
iter-broad-from-type,parsed,,,,8223954.0,ns,1768
iter-broad-from-type,parsed,,,,8930245.0,ns,1989
iter-broad-from-type,parsed,,,,10386428.0,ns,2210
iter-broad-from-type,parsed,,,,11341532.0,ns,2431
iter-broad-from-type,parsed,,,,11881386.0,ns,2652
iter-broad-from-type,parsed,,,,13481772.0,ns,2873
iter-broad-from-type,parsed,,,,14421337.0,ns,3094
iter-broad-from-type,parsed,,,,14902831.0,ns,3315
iter-broad-from-type,parsed,,,,16661156.0,ns,3536
iter-broad-from-type,parsed,,,,17464556.0,ns,3757
iter-broad-from-type,parsed,,,,17835191.0,ns,3978
iter-broad-from-type,parsed,,,,19733288.0,ns,4199
iter-broad-from-type,parsed,,,,20660637.0,ns,4420
iter-broad-from-type,parsed,,,,20760755.0,ns,4641
iter-broad-from-type,parsed,,,,22895630.0,ns,4862
iter-broad-from-type,parsed,,,,23626341.0,ns,5083
iter-broad-from-type,parsed,,,,23716720.0,ns,5304
iter-broad-from-type,parsed,,,,26224874.0,ns,5525
iter-broad-from-type,parsed,,,,26907726.0,ns,5746
iter-broad-from-type,parsed,,,,26725025.0,ns,5967
iter-broad-from-type,parsed,,,,29044367.0,ns,6188
iter-broad-from-type,parsed,,,,29828623.0,ns,6409
iter-broad-from-type,parsed,,,,29755241.0,ns,6630
iter-broad-from-type,parsed,,,,32111049.0,ns,6851
iter-broad-from-type,parsed,,,,32924360.0,ns,7072
iter-broad-from-type,parsed,,,,32707462.0,ns,7293
iter-broad-from-type,parsed,,,,35292710.0,ns,7514
iter-broad-from-type,parsed,,,,35955496.0,ns,7735
iter-broad-from-type,parsed,,,,35553113.0,ns,7956
iter-broad-from-type,parsed,,,,38446273.0,ns,8177
iter-broad-from-type,parsed,,,,39162071.0,ns,8398
iter-broad-from-type,parsed,,,,38603126.0,ns,8619
iter-broad-from-type,parsed,,,,41651097.0,ns,8840
iter-broad-from-type,parsed,,,,42292321.0,ns,9061
iter-broad-from-type,parsed,,,,41568991.0,ns,9282
iter-broad-from-type,parsed,,,,44678025.0,ns,9503
iter-broad-from-type,parsed,,,,45394568.0,ns,9724
iter-broad-from-type,parsed,,,,44618196.0,ns,9945
iter-broad-from-type,parsed,,,,47820292.0,ns,10166
iter-broad-from-type,parsed,,,,48375175.0,ns,10387
iter-broad-from-type,parsed,,,,47612011.0,ns,10608
iter-broad-from-type,parsed,,,,50937549.0,ns,10829
iter-broad-from-type,parsed,,,,51540344.0,ns,11050
iter-broad-from-type,parsed,,,,51074935.0,ns,11271
iter-broad-from-type,parsed,,,,54109491.0,ns,11492
iter-broad-from-type,parsed,,,,54486315.0,ns,11713
iter-broad-from-type,parsed,,,,53492452.0,ns,11934
iter-broad-from-type,parsed,,,,57252859.0,ns,12155
iter-broad-from-type,parsed,,,,57482496.0,ns,12376
iter-broad-from-type,parsed,,,,56387326.0,ns,12597
