group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iter-broad-from-type,raw,,,,979610.0,ns,41
iter-broad-from-type,raw,,,,2044258.0,ns,82
iter-broad-from-type,raw,,,,3017661.0,ns,123
iter-broad-from-type,raw,,,,4058284.0,ns,164
iter-broad-from-type,raw,,,,5053421.0,ns,205
iter-broad-from-type,raw,,,,5927462.0,ns,246
iter-broad-from-type,raw,,,,7056702.0,ns,287
iter-broad-from-type,raw,,,,8198526.0,ns,328
iter-broad-from-type,raw,,,,9212887.0,ns,369
iter-broad-from-type,raw,,,,9888358.0,ns,410
iter-broad-from-type,raw,,,,11087819.0,ns,451
iter-broad-from-type,raw,,,,11956252.0,ns,492
iter-broad-from-type,raw,,,,12844104.0,ns,533
iter-broad-from-type,raw,,,,13833086.0,ns,574
iter-broad-from-type,raw,,,,14825761.0,ns,615
iter-broad-from-type,raw,,,,15863345.0,ns,656
iter-broad-from-type,raw,,,,16865605.0,ns,697
iter-broad-from-type,raw,,,,17838294.0,ns,738
iter-broad-from-type,raw,,,,18774639.0,ns,779
iter-broad-from-type,raw,,,,19786473.0,ns,820
iter-broad-from-type,raw,,,,21374101.0,ns,861
iter-broad-from-type,raw,,,,21831286.0,ns,902
iter-broad-from-type,raw,,,,22851609.0,ns,943
iter-broad-from-type,raw,,,,23692526.0,ns,984
iter-broad-from-type,raw,,,,24769578.0,ns,1025
iter-broad-from-type,raw,,,,25788393.0,ns,1066
iter-broad-from-type,raw,,,,26798011.0,ns,1107
iter-broad-from-type,raw,,,,27958303.0,ns,1148
iter-broad-from-type,raw,,,,28983924.0,ns,1189
iter-broad-from-type,raw,,,,29968127.0,ns,1230
iter-broad-from-type,raw,,,,30953612.0,ns,1271
iter-broad-from-type,raw,,,,31767172.0,ns,1312
iter-broad-from-type,raw,,,,33715254.0,ns,1353
iter-broad-from-type,raw,,,,33663429.0,ns,1394
iter-broad-from-type,raw,,,,34599500.0,ns,1435
iter-broad-from-type,raw,,,,35740419.0,ns,1476
iter-broad-from-type,raw,,,,36743361.0,ns,1517
iter-broad-from-type,raw,,,,37728931.0,ns,1558
iter-broad-from-type,raw,,,,38634251.0,ns,1599
iter-broad-from-type,raw,,,,39590618.0,ns,1640
iter-broad-from-type,raw,,,,40793665.0,ns,1681
iter-broad-from-type,raw,,,,41564236.0,ns,1722
iter-broad-from-type,raw,,,,42620479.0,ns,1763
iter-broad-from-type,raw,,,,43479855.0,ns,1804
iter-broad-from-type,raw,,,,44610855.0,ns,1845
iter-broad-from-type,raw,,,,45963219.0,ns,1886
iter-broad-from-type,raw,,,,46836283.0,ns,1927
iter-broad-from-type,raw,,,,47469443.0,ns,1968
iter-broad-from-type,raw,,,,48797813.0,ns,2009
iter-broad-from-type,raw,,,,50021463.0,ns,2050
iter-broad-from-type,raw,,,,50505403.0,ns,2091
iter-broad-from-type,raw,,,,51424760.0,ns,2132
iter-broad-from-type,raw,,,,52451358.0,ns,2173
iter-broad-from-type,raw,,,,53434836.0,ns,2214
iter-broad-from-type,raw,,,,54726760.0,ns,2255
iter-broad-from-type,raw,,,,56103722.0,ns,2296
iter-broad-from-type,raw,,,,56360051.0,ns,2337
iter-broad-from-type,raw,,,,57559561.0,ns,2378
iter-broad-from-type,raw,,,,58697793.0,ns,2419
iter-broad-from-type,raw,,,,59442486.0,ns,2460
iter-broad-from-type,raw,,,,60667651.0,ns,2501
iter-broad-from-type,raw,,,,61527928.0,ns,2542
iter-broad-from-type,raw,,,,62380992.0,ns,2583
iter-broad-from-type,raw,,,,63289978.0,ns,2624
iter-broad-from-type,raw,,,,64173825.0,ns,2665
iter-broad-from-type,raw,,,,65245781.0,ns,2706
iter-broad-from-type,raw,,,,66671455.0,ns,2747
iter-broad-from-type,raw,,,,67193533.0,ns,2788
iter-broad-from-type,raw,,,,68536219.0,ns,2829
iter-broad-from-type,raw,,,,69567800.0,ns,2870
iter-broad-from-type,raw,,,,70999063.0,ns,2911
iter-broad-from-type,raw,,,,71580192.0,ns,2952
iter-broad-from-type,raw,,,,72270901.0,ns,2993
iter-broad-from-type,raw,,,,73534494.0,ns,3034
iter-broad-from-type,raw,,,,74051653.0,ns,3075
iter-broad-from-type,raw,,,,75422157.0,ns,3116
iter-broad-from-type,raw,,,,76192073.0,ns,3157
iter-broad-from-type,raw,,,,77070849.0,ns,3198
iter-broad-from-type,raw,,,,78088072.0,ns,3239
iter-broad-from-type,raw,,,,79583083.0,ns,3280
iter-broad-from-type,raw,,,,80610175.0,ns,3321
iter-broad-from-type,raw,,,,81144427.0,ns,3362
iter-broad-from-type,raw,,,,82283739.0,ns,3403
iter-broad-from-type,raw,,,,84052242.0,ns,3444
iter-broad-from-type,raw,,,,84171320.0,ns,3485
iter-broad-from-type,raw,,,,85429924.0,ns,3526
iter-broad-from-type,raw,,,,86579737.0,ns,3567
iter-broad-from-type,raw,,,,87247003.0,ns,3608
iter-broad-from-type,raw,,,,88944734.0,ns,3649
iter-broad-from-type,raw,,,,89009774.0,ns,3690
iter-broad-from-type,raw,,,,90313463.0,ns,3731
iter-broad-from-type,raw,,,,91340937.0,ns,3772
iter-broad-from-type,raw,,,,92112744.0,ns,3813
iter-broad-from-type,raw,,,,93316182.0,ns,3854
iter-broad-from-type,raw,,,,94795185.0,ns,3895
iter-broad-from-type,raw,,,,96215862.0,ns,3936
iter-broad-from-type,raw,,,,100749980.0,ns,3977
iter-broad-from-type,raw,,,,101270038.0,ns,4018
iter-broad-from-type,raw,,,,98196657.0,ns,4059
iter-broad-from-type,raw,,,,99213710.0,ns,4100
